Player,UID,DM,AM,BWM,HB,SV,RGA
Mario Sacchi,2000628256.0,12.0,12.1,12.1,11.7,11.9,13.8
Giorgio Del Nero,2000569080.0,8.05,9.2,9.2,9.55,7.9,9.3
Ding Lei,2000566986.0,10.0,10.3,10.3,10.7,9.3,10.8
Francesco Boron,2000510618.0,7.8,8.0,8.0,7.9,8.3,9.35
Alessandro Cudicio,2000436500.0,9.45,9.3,9.3,9.25,9.85,11.1
José Daniel Lafuente,2000435809.0,10.4,10.0,10.0,10.0,11.3,13.3
Andrea Beretta,2000323828.0,8.6,8.75,8.75,9.0,7.5,8.55
Gianluigi Fornari,2000199598.0,9.7,9.65,9.65,9.8,8.1,7.6
Tommaso Risaliti,2000198565.0,11.0,10.35,10.35,9.9,10.9,10.4
Antonio Buzzi,2000193933.0,11.4,11.65,11.65,11.9,10.6,9.3
Matteo Bernard,2000189331.0,11.0,10.8,10.8,10.4,10.6,12.1
Kamil Broda,96129081.0,7.75,7.25,7.25,8.75,7.6,6.9
Alessio Furlanetto,43425157.0,7.2,6.4,6.4,7.4,5.95,7.35
Matteo Canini,2000437226.0,8.9,8.75,8.75,9.1,9.75,10.85
Carlos Rojas,2000561489.0,9.45,9.85,9.85,10.3,8.7,8.35
Mauro Brizi,2000272649.0,11.25,11.9,11.9,12.2,9.85,8.8
Fidel Blasco,2000573382.0,8.45,8.9,8.9,8.75,7.6,11.25
Cristian Ferrari,2000570040.0,10.6,10.8,10.8,11.4,11.0,12.9
Raffaele Civita,2000437228.0,10.95,11.5,11.5,11.1,10.55,10.2
Massimo Todaro,2000437225.0,9.7,8.9,8.9,9.2,8.55,9.3
Kalidou Koulibaly,85051083.0,12.8,13.05,13.05,13.2,12.4,10.5
Roberto Taliento,43252472.0,9.15,9.35,9.35,9.35,8.5,8.2
Claud Adjapong,43202413.0,12.0,12.35,12.35,11.8,12.4,11.8
Amir Rrahmani,11023165.0,12.3,12.45,12.45,12.9,12.15,9.85
Egidio Guidi,2000190821.0,13.05,13.1,13.1,14.55,12.55,10.35
Giacomo Raspadori,43316850.0,10.15,10.3,10.3,11.25,10.65,12.7
Vasyl Lysenko,2000660045.0,13.55,12.85,12.85,14.0,13.3,11.85
Davide Addis,2000199603.0,11.9,11.75,11.75,11.6,12.3,12.1
Mario Liccardo,2000437227.0,13.7,13.6,13.6,13.95,13.0,12.75
Enrico Del Prato,43252473.0,12.7,12.75,12.75,12.5,12.9,12.7
Lennart Czyborra,91166521.0,13.05,13.05,13.05,13.25,12.75,12.75
Daniele De Filippis,2000327509.0,10.4,10.7,10.7,10.6,10.5,10.9
Leonardo Loria,43269230.0,8.75,7.85,7.85,8.85,8.3,9.05
Cláudio Marcos,2000410741.0,10.0,9.8,9.8,10.0,8.15,8.6
Nicolò Trombino,2000324477.0,12.55,12.5,12.5,12.35,12.55,12.8
Amath N'Diaye,67213756.0,7.75,7.9,7.9,9.25,8.45,10.3
Chancel Mbemba,18057323.0,13.2,13.55,13.55,12.85,12.9,12.15
Cristian Pavón,14083972.0,10.5,10.9,10.9,10.9,10.75,10.35
Jonathan Augustinsson,93051231.0,13.6,13.5,13.5,13.55,13.45,12.1
Fabián Buonanno,2000273255.0,11.5,11.7,11.7,11.4,11.8,13.5
Pablo Aránguiz,75036973.0,9.9,9.7,9.7,10.2,10.5,13.2
Daniele Rugani,43083931.0,14.4,14.8,14.8,13.5,13.7,12.3
