Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Mario Sacchi,2000628256.0,2.5,16.0,14.0,12.17,2.0,3.0,2.0,2.0
Giorgio Del Nero,2000569080.0,2.0,11.0,15.5,10.0,3.0,1.5,3.0,2.75
Ding Lei,2000566986.0,1.5,11.0,11.0,12.67,3.0,2.0,1.5,2.5
Francesco Boron,2000510618.0,2.25,12.75,9.5,7.92,3.0,1.5,2.75,2.25
Alessandro Cudicio,2000436500.0,2.5,12.12,15.5,10.17,2.0,3.5,3.25,2.0
José Daniel Lafuente,2000435809.0,1.5,12.0,12.5,11.83,1.0,1.0,2.5,2.0
Andrea Beretta,2000323828.0,10.5,10.88,11.0,11.42,11.5,2.0,14.25,11.0
Gianluigi Fornari,2000199598.0,14.0,12.5,11.75,11.5,10.75,2.0,14.75,8.5
Tommaso Risaliti,2000198565.0,1.75,10.88,14.0,9.92,2.25,1.0,3.0,3.5
Antonio Buzzi,2000193933.0,2.5,13.75,11.0,12.17,3.5,2.5,2.0,3.5
Matteo Bernard,2000189331.0,2.75,15.62,15.5,11.25,2.25,2.5,1.5,2.0
Kamil Broda,96129081.0,12.5,10.62,9.5,9.67,10.25,6.5,13.0,8.0
Alessio Furlanetto,43425157.0,13.5,6.0,9.5,11.08,9.0,6.0,12.75,9.5
Matteo Canini,2000437226.0,2.0,13.0,16.0,9.58,3.25,2.5,2.75,2.75
Carlos Rojas,2000561489.0,3.0,12.12,14.25,8.92,2.5,3.0,3.75,3.25
Mauro Brizi,2000272649.0,15.0,12.5,12.5,14.5,14.25,2.0,12.0,11.0
Fidel Blasco,2000573382.0,0.0,10.88,14.25,11.08,0.0,0.0,0.0,0.0
Cristian Ferrari,2000570040.0,3.5,12.12,13.5,12.42,3.5,4.0,2.75,1.5
Raffaele Civita,2000437228.0,2.25,14.0,16.25,10.08,2.25,2.0,3.25,2.75
Massimo Todaro,2000437225.0,12.0,12.12,10.5,10.83,12.25,4.5,12.0,11.0
Kalidou Koulibaly,85051083.0,2.5,8.38,5.0,13.25,1.75,2.5,3.0,2.25
Roberto Taliento,43252472.0,12.5,10.88,10.5,10.17,8.75,6.5,12.0,12.0
Claud Adjapong,43202413.0,2.5,12.25,15.5,12.17,2.75,3.0,2.25,3.5
Amir Rrahmani,11023165.0,1.5,6.62,5.25,13.92,2.75,2.5,4.5,2.5
Egidio Guidi,2000190821.0,2.25,15.25,13.0,13.5,1.75,1.5,2.5,2.25
Giacomo Raspadori,43316850.0,3.0,13.12,14.5,13.33,2.0,2.0,4.0,2.25
Vasyl Lysenko,2000660045.0,4.5,12.5,15.0,14.5,2.25,2.5,2.5,1.25
Davide Addis,2000199603.0,2.5,14.12,13.25,11.58,2.25,3.0,3.0,2.25
Mario Liccardo,2000437227.0,2.5,15.75,13.5,15.0,2.5,2.0,1.5,1.75
Enrico Del Prato,43252473.0,2.0,12.5,13.5,13.33,2.75,2.5,2.5,4.0
Lennart Czyborra,91166521.0,3.0,13.75,13.75,13.42,1.75,2.5,2.25,3.5
Daniele De Filippis,2000327509.0,2.25,14.0,14.0,11.58,3.0,4.0,2.0,2.5
Leonardo Loria,43269230.0,13.5,8.38,12.5,12.25,11.5,5.0,14.5,13.0
Cláudio Marcos,2000410741.0,12.5,11.38,9.0,12.17,11.25,3.5,14.0,10.5
Nicolò Trombino,2000324477.0,3.0,14.12,12.0,14.0,2.5,2.0,3.5,1.5
Amath N'Diaye,67213756.0,2.0,11.12,14.0,9.67,2.5,1.5,3.0,1.75
Chancel Mbemba,18057323.0,2.0,9.38,9.25,14.75,2.25,2.0,3.25,2.75
Cristian Pavón,14083972.0,3.0,13.25,14.5,11.33,2.25,2.5,2.25,1.5
Jonathan Augustinsson,93051231.0,3.0,12.75,12.0,13.58,2.0,2.5,1.75,2.0
Fabián Buonanno,2000273255.0,3.0,15.25,15.0,12.17,2.5,2.0,3.0,3.5
Pablo Aránguiz,75036973.0,3.0,11.25,14.0,12.67,2.25,1.5,3.25,3.0
Daniele Rugani,43083931.0,1.0,12.5,11.0,13.67,1.5,2.0,2.0,3.0
