Player,UID,Position
Mario Sacchi,2000628256,M/AM (C)
Giorgio Del Nero,2000569080,M/AM (R)
Ding Lei,2000566986,"M/AM (C), ST (C)"
Francesco Boron,2000510618,"M/AM (L), ST (C)"
Alessandro Cudicio,2000436500,"M (LC), AM (L)"
José Daniel Lafuente,2000435809,"M (C), AM (RLC)"
Andrea Beretta,2000323828,GK
Gianluigi Fornari,2000199598,GK
Tommaso Risaliti,2000198565,D (RLC)
Antonio Buzzi,2000193933,"D (RC), DM, M (C)"
Matteo Bernard,2000189331,"M (L), AM (LC)"
Kamil Broda,96129081,GK
Alessio Furlanetto,43425157,GK
Matteo Canini,2000437226,ST (C)
Carlos Rojas,2000561489,D/WB/M/AM (R)
Mauro Brizi,2000272649,GK
Fidel Blasco,2000573382,WB/M/AM (R)
Cristian Ferrari,2000570040,"M/AM (C), ST (C)"
Raffaele Civita,2000437228,D/WB/M/AM (R)
Massimo Todaro,2000437225,GK
Kalidou Koulibaly,85051083,D (C)
Roberto Taliento,43252472,GK
Claud Adjapong,43202413,D/WB/M (R)
Amir Rrahmani,11023165,D (RLC)
Egidio Guidi,2000190821,"D (R), DM, M (C)"
Giacomo Raspadori,43316850,"AM (LC), ST (C)"
Vasyl Lysenko,2000660045,D (RC)
Davide Addis,2000199603,M (LC)
Mario Liccardo,2000437227,"DM, M (C)"
Enrico Del Prato,43252473,"D (RLC), WB (R), M (RC)"
Lennart Czyborra,91166521,"D (LC), WB/M (L)"
Daniele De Filippis,2000327509,"M (LC), AM (L)"
Leonardo Loria,43269230,GK
Cláudio Marcos,2000410741,GK
Nicolò Trombino,2000324477,"M (R), AM (RC)"
Amath N'Diaye,67213756,"M (R), AM (RLC), ST (C)"
Chancel Mbemba,18057323,"D (RC), WB (R), DM"
Cristian Pavón,14083972,"M/AM (RL), ST (C)"
Jonathan Augustinsson,93051231,"D (LC), WB (L)"
Fabián Buonanno,2000273255,"M (C), AM (LC)"
Pablo Aránguiz,75036973,"M (C), AM (RLC)"
Daniele Rugani,43083931,D (C)
