Player,UID,AF,CF,DLF,F9,P,PF,TM
Mario Sacchi,2000628256.0,14.6,13.4,15.0,14.2,14.6,14.0,13.7
Giorgio Del Nero,2000569080.0,11.2,9.65,10.1,10.4,11.2,11.85,9.55
Ding Lei,2000566986.0,10.2,10.7,11.6,11.0,10.2,11.3,10.4
Francesco Boron,2000510618.0,10.5,9.35,10.55,10.7,10.5,9.75,9.8
Alessandro Cudicio,2000436500.0,12.45,10.8,11.25,12.0,12.45,11.8,9.75
José Daniel Lafuente,2000435809.0,13.3,12.6,13.7,14.2,13.3,11.6,11.8
Andrea Beretta,2000323828.0,7.75,7.1,9.3,8.05,7.75,8.5,8.1
Gianluigi Fornari,2000199598.0,9.1,6.5,8.25,7.1,9.1,9.45,7.9
Tommaso Risaliti,2000198565.0,10.0,9.65,9.95,9.8,10.0,9.85,9.4
Antonio Buzzi,2000193933.0,10.15,8.55,9.75,9.2,10.15,10.5,10.45
Matteo Bernard,2000189331.0,14.2,11.9,12.7,13.1,14.2,12.7,11.75
Kamil Broda,96129081.0,7.4,6.0,7.4,5.95,7.4,7.35,7.2
Alessio Furlanetto,43425157.0,6.25,5.45,6.6,6.1,6.25,6.9,6.45
Matteo Canini,2000437226.0,14.1,11.95,11.8,11.25,14.1,12.85,11.75
Carlos Rojas,2000561489.0,10.4,8.5,8.75,8.55,10.4,10.75,8.5
Mauro Brizi,2000272649.0,9.0,7.95,9.75,7.7,9.0,10.65,9.9
Fidel Blasco,2000573382.0,12.3,10.5,11.5,12.5,12.3,11.45,10.4
Cristian Ferrari,2000570040.0,12.45,12.05,12.15,12.35,12.45,12.35,11.65
Raffaele Civita,2000437228.0,12.3,10.4,10.85,10.65,12.3,12.1,10.95
Massimo Todaro,2000437225.0,8.35,7.4,9.2,7.95,8.35,8.2,7.4
Kalidou Koulibaly,85051083.0,7.5,10.75,10.7,9.5,7.5,9.85,12.0
Roberto Taliento,43252472.0,8.15,7.35,8.2,6.8,8.15,8.6,8.55
Claud Adjapong,43202413.0,12.5,10.7,11.55,11.6,12.5,11.75,11.1
Amir Rrahmani,11023165.0,7.25,9.4,9.6,9.05,7.25,9.1,10.25
Egidio Guidi,2000190821.0,11.65,11.1,11.1,10.2,11.65,12.95,12.2
Giacomo Raspadori,43316850.0,13.85,13.15,13.75,13.45,13.85,13.4,12.85
Vasyl Lysenko,2000660045.0,11.2,11.4,11.45,10.55,11.2,12.0,10.75
Davide Addis,2000199603.0,12.4,12.15,13.05,12.5,12.4,12.1,12.0
Mario Liccardo,2000437227.0,12.35,12.2,13.85,13.1,12.35,12.4,12.35
Enrico Del Prato,43252473.0,12.5,11.6,12.65,12.4,12.5,11.75,11.8
Lennart Czyborra,91166521.0,12.5,12.55,12.55,12.35,12.5,13.05,11.85
Daniele De Filippis,2000327509.0,12.45,10.3,11.6,11.8,12.45,11.4,11.25
Leonardo Loria,43269230.0,8.0,6.9,9.35,8.15,8.0,8.2,7.85
Cláudio Marcos,2000410741.0,7.6,6.6,8.2,7.05,7.6,8.4,7.9
Nicolò Trombino,2000324477.0,13.15,13.35,14.05,14.05,13.15,12.6,13.65
Amath N'Diaye,67213756.0,11.85,10.85,10.85,11.05,11.85,11.6,10.05
Chancel Mbemba,18057323.0,9.9,10.8,11.25,11.3,9.9,10.65,11.25
Cristian Pavón,14083972.0,12.4,10.6,10.3,10.6,12.4,12.4,9.75
Jonathan Augustinsson,93051231.0,10.95,11.75,12.0,11.7,10.95,12.05,11.7
Fabián Buonanno,2000273255.0,13.9,13.4,14.6,13.8,13.9,12.8,13.8
Pablo Aránguiz,75036973.0,12.8,11.9,13.1,13.5,12.8,11.7,10.7
Daniele Rugani,43083931.0,10.3,11.7,11.5,10.9,10.3,11.1,12.6
