Player,UID,WM,W,DW,IW,IF,WG
Martin Rusnak,2000290938.0,12.7,13.5,10.8,14.75,14.3,13.0
Paolo Marinoni,2000569081.0,10.0,11.4,9.8,11.25,10.4,10.33
Giovanni Mosca,2000567186.0,10.5,10.25,11.5,10.15,9.8,10.29
Ross Duff,2000505384.0,13.1,12.5,12.05,12.85,11.9,11.83
Connor Barron,2000483573.0,10.65,13.2,8.25,12.05,11.6,12.25
Arnór Daði Grétarsson,2000357428.0,10.95,12.1,9.6,12.05,11.9,12.58
Guglielmo Bosi,2000327294.0,11.2,12.0,9.3,11.95,11.4,11.75
Mislav Zadro,24065095.0,5.25,5.85,6.7,6.25,5.65,6.5
Jonathan David,18108540.0,11.7,12.8,10.6,13.1,13.2,11.92
Michael Brugaletta,2000626450.0,13.4,13.85,10.4,14.8,14.5,12.54
Danilo Brizi,2000567640.0,12.15,11.65,11.15,11.75,11.35,11.04
Vincenzo Savarese,2000567190.0,10.0,10.2,11.4,9.95,9.15,10.58
Marco Campagna,2000567188.0,10.95,10.7,9.35,11.8,11.2,10.12
Luca Zaccaria,2000507009.0,10.75,10.9,9.75,13.45,13.0,11.08
Francesco Bruschi,2000507006.0,11.95,13.45,10.4,13.1,13.25,13.12
Emir Lilaj,2000434777.0,10.65,11.25,8.7,11.0,11.05,10.83
Giovanni Fabiani,2000327318.0,11.2,12.05,8.95,13.15,13.0,12.21
Giorgio Matera,2000323826.0,9.15,9.45,7.6,10.1,11.0,10.12
Jesús María Sola,2000197806.0,10.9,12.05,8.55,12.75,13.3,11.88
Benjamin Šeško,62246208.0,12.0,12.6,10.95,13.2,13.1,13.17
James Owusu,2000567653.0,10.3,10.3,12.05,10.55,10.4,11.25
Mario Marco,2000489132.0,11.9,13.3,10.05,12.4,11.9,12.67
Michele Testi,2000507005.0,13.0,13.8,11.2,14.4,14.9,13.33
Renzo Pretel,2000536223.0,13.5,13.4,11.9,15.1,14.1,13.0
Tobias Christensen,53138127.0,13.0,13.0,11.3,14.65,14.0,12.0
Per Kruse,2000322907.0,12.1,13.15,9.75,13.7,13.95,13.71
Agustín Urzi,14219443.0,12.5,14.3,11.45,13.2,13.0,13.08
Gianluca Manfroni,2000191905.0,13.1,14.45,11.55,14.05,13.9,14.21
Matteo Soncin,43371875.0,5.45,5.75,6.6,6.45,6.15,6.79
Alexander Nübel,92071707.0,8.7,8.5,9.6,10.3,9.65,9.0
Marco Nardini,2000567183.0,3.0,3.1,4.2,4.25,4.25,3.71
Jacopo Besana,2000660239.0,11.05,10.65,11.2,12.15,11.95,10.62
Maurizio Simone,2000507008.0,10.8,10.8,12.5,10.9,10.6,11.42
Umberto Lippo,2000435435.0,12.1,12.05,13.1,11.4,11.35,11.88
Evaristo Santos,2000508915.0,14.9,14.1,14.4,15.8,14.8,13.42
Claudio Cellamare,2000019160.0,12.25,13.4,12.7,12.65,11.75,12.5
Daan Dierckx,2000046172.0,12.6,11.5,14.4,13.75,12.9,11.17
Willy Kambwala,2000006158.0,10.5,11.85,11.8,10.95,10.35,12.46
Pablo García,67288495.0,12.4,12.65,12.45,12.5,12.3,11.71
Marco Brescianini,43318320.0,12.8,13.05,12.95,13.8,13.5,13.04
Alessandro Buongiorno,43270682.0,10.85,10.95,12.55,11.6,11.15,11.62
Gianluca Caracciolo,2000567187.0,12.1,13.0,11.35,12.9,12.75,13.33
Leone Corti,2000626452.0,10.6,10.5,12.35,10.55,10.5,10.62
