Player,UID,AMC,AP,T,SS,AM,EG
Ibrahima Thiam,2000325354.0,10.35,9.95,10.35,9.65,10.15,9.75
Stole Dimitrievski,47022611.0,10.35,9.35,10.35,8.8,9.6,8.6
Alfonso Pedraza,67212046.0,13.65,13.35,13.65,13.45,13.4,13.1
Gaetano Giannusa,2000434798.0,14.2,14.0,14.2,13.1,14.0,13.5
Thomas Perotta,2000342207.0,11.35,11.95,11.35,12.3,11.95,12.35
Abdelghafour Rahimi,2000325289.0,10.5,11.2,10.5,11.6,11.2,12.65
Nicola Brambilla,2000323520.0,10.7,11.3,10.7,11.8,11.0,10.8
Elías Cabrera,14222117.0,13.4,13.4,13.4,12.9,13.2,13.3
Tomas Kral,2000197839.0,9.6,10.5,9.6,11.7,11.3,12.0
Andrea Formisano,2000191459.0,12.7,12.8,12.7,12.7,13.25,12.95
Adriano Lisboa,2000189589.0,13.05,13.25,13.05,12.3,12.75,12.9
Gonçalo Guedes,55041710.0,11.9,12.4,11.9,12.4,12.5,12.8
Calvin Stengs,37059574.0,13.6,14.3,13.6,13.7,14.3,14.7
Joachim Andersen,27069975.0,13.05,12.75,13.05,12.2,12.65,12.45
Marcão,19190440.0,13.4,13.0,13.4,12.4,13.3,12.8
Marco Carnesecchi,43298002.0,11.6,10.9,11.6,9.5,10.35,10.0
Nicolò Rovella,43372892.0,14.0,13.9,14.0,12.9,13.6,13.9
Giovanni Groppi,2000507381.0,11.05,10.05,11.05,10.75,10.75,9.7
Nicola Improta,2000507382.0,11.85,11.35,11.85,11.75,11.7,11.25
Gerónimo Pezzella,2000285534.0,12.9,13.3,12.9,12.65,12.9,13.8
Walter Zampina,2000507379.0,12.15,12.35,12.15,12.6,12.4,12.75
Pino Birettoni,2000191463.0,13.3,13.2,13.3,14.35,13.9,14.25
Nelson Niz,2000272945.0,13.75,13.95,13.75,13.7,14.05,14.05
Danilo Catalano,2000626665.0,13.15,12.55,13.15,11.85,12.15,11.15
Krystian Palacz,96159314.0,12.15,12.15,12.15,12.1,12.05,12.15
Daniele Venturelli,2000434795.0,11.8,12.5,11.8,11.7,12.6,12.9
Stefano Ollanu,2000434791.0,13.3,12.9,13.3,12.65,12.7,12.0
Álvaro Odriozola,67199408.0,14.0,13.8,14.0,13.6,13.85,13.7
Gaetano Castrovilli,43206176.0,14.25,14.85,14.25,14.55,14.75,15.1
Ben Wilmot,29174249.0,13.15,12.45,13.15,12.55,12.9,12.3
Marcus Edwards,28106878.0,14.3,14.9,14.3,14.85,15.1,15.3
Pino Torrini,2000567624.0,12.55,12.75,12.55,11.85,12.25,11.9
Pietro Bruni,2000507380.0,14.0,14.4,14.0,13.5,14.2,14.3
Mario Staiano,2000328467.0,11.8,11.8,11.8,12.1,12.2,11.95
Giambattista Auletta,2000323518.0,13.85,14.3,13.85,14.3,14.3,15.4
Miłosz Jaskuła,2000018698.0,7.4,6.45,7.4,6.05,6.9,5.75
