Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Ibrahima Thiam,2000325354.0,11.33,12.62,12.25,8.67,8.5,9.33,12.0,12.25
Stole Dimitrievski,47022611.0,6.17,7.38,3.75,9.5,6.0,8.0,6.0,12.25
Alfonso Pedraza,67212046.0,12.33,12.75,13.25,11.83,12.83,12.67,11.5,13.92
Gaetano Giannusa,2000434798.0,8.33,11.75,12.0,13.33,10.67,14.0,7.5,11.17
Thomas Perotta,2000342207.0,4.5,13.62,14.5,10.67,13.5,12.67,10.5,10.0
Abdelghafour Rahimi,2000325289.0,5.67,11.88,13.5,11.33,10.33,14.17,6.0,9.67
Nicola Brambilla,2000323520.0,4.17,9.38,9.5,10.5,15.83,12.33,10.0,9.75
Elías Cabrera,14222117.0,10.0,10.5,14.0,13.33,13.33,14.83,7.0,12.92
Tomas Kral,2000197839.0,3.5,12.25,15.0,9.33,14.33,15.17,6.5,9.08
Andrea Formisano,2000191459.0,9.17,14.25,15.5,11.5,9.17,12.83,10.5,12.42
Adriano Lisboa,2000189589.0,8.83,12.5,11.5,13.67,10.5,12.0,9.5,12.67
Gonçalo Guedes,55041710.0,7.83,11.75,12.5,14.0,13.0,12.33,8.0,11.5
Calvin Stengs,37059574.0,5.83,13.5,14.0,15.67,12.33,15.33,10.5,12.33
Joachim Andersen,27069975.0,14.67,14.12,12.25,12.33,10.33,11.17,13.5,13.92
Marcão,19190440.0,14.0,12.25,11.0,13.67,9.67,13.0,13.5,14.17
Marco Carnesecchi,43298002.0,6.67,15.0,11.5,9.67,6.83,7.0,10.5,13.5
Nicolò Rovella,43372892.0,13.0,14.0,13.0,14.33,11.67,13.33,8.0,12.83
Giovanni Groppi,2000507381.0,13.33,13.0,16.0,8.67,9.17,10.0,12.0,13.75
Nicola Improta,2000507382.0,12.67,13.88,12.5,9.5,9.5,9.67,11.25,12.67
Gerónimo Pezzella,2000285534.0,5.0,16.5,17.0,11.0,11.67,13.33,8.5,11.58
Walter Zampina,2000507379.0,6.5,14.25,12.5,10.17,12.0,13.67,14.0,11.58
Pino Birettoni,2000191463.0,6.33,16.5,14.5,11.83,14.67,14.17,15.5,11.58
Nelson Niz,2000272945.0,5.5,13.62,14.5,13.33,13.0,15.33,13.0,12.75
Danilo Catalano,2000626665.0,12.67,12.62,14.5,10.0,8.67,10.33,12.5,14.25
Krystian Palacz,96159314.0,11.67,13.88,15.25,10.67,9.33,12.17,10.5,11.75
Daniele Venturelli,2000434795.0,6.83,13.88,12.5,12.83,11.5,11.33,11.5,10.08
Stefano Ollanu,2000434791.0,9.67,13.12,12.0,9.83,9.0,13.17,11.0,14.58
Álvaro Odriozola,67199408.0,12.33,12.0,12.5,12.17,10.83,14.17,7.5,13.92
Gaetano Castrovilli,43206176.0,11.33,13.25,13.5,15.67,14.33,15.67,12.0,13.25
Ben Wilmot,29174249.0,14.33,14.0,12.25,11.17,9.83,11.67,14.0,14.75
Marcus Edwards,28106878.0,5.33,13.38,16.0,15.67,15.67,16.33,6.5,12.42
Pino Torrini,2000567624.0,7.67,13.25,14.5,11.0,11.17,12.67,9.0,12.0
Pietro Bruni,2000507380.0,11.0,13.75,12.5,14.33,11.33,15.33,10.0,12.83
Mario Staiano,2000328467.0,11.83,13.12,14.0,11.33,12.33,10.83,12.0,12.0
Giambattista Auletta,2000323518.0,8.83,16.75,16.5,14.0,15.0,17.0,13.0,12.25
Miłosz Jaskuła,2000018698.0,5.33,9.88,13.5,7.33,4.67,2.67,7.75,11.08
