Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Rasmus Jönsson,2000397710.0,14.0,12.67,10.0,9.0,17.0,14.67,14.0,12.0,9.0,15.5,10.0,13.25,13.6,7.67,17.0,12.67,14.0,16.0,13.0,11.33,5.0
Olexandr Zinchenko,71081391.0,9.0,14.33,11.0,11.0,14.0,13.33,13.0,14.5,11.0,12.5,13.0,14.25,13.8,10.33,14.25,14.33,13.0,13.5,11.5,11.33,9.0
Ryan Gravenberch,37071197.0,18.0,15.0,13.0,14.0,16.0,15.67,15.33,15.0,14.0,15.5,15.5,11.75,15.4,12.67,15.5,15.0,17.0,16.0,14.5,13.33,11.0
Teun Koopmeiners,37057982.0,13.0,14.33,11.0,14.5,14.5,12.33,14.0,15.5,14.5,12.0,14.5,14.75,13.4,14.0,14.5,14.67,11.0,15.0,15.5,11.33,12.0
Ibrahim Zagré,2000435828.0,15.0,15.33,17.0,14.0,14.5,15.0,13.0,13.5,14.0,15.5,13.5,12.75,14.8,11.67,15.0,14.67,14.0,14.0,15.0,14.33,4.0
Manuel Oliveira,2000434824.0,15.0,14.33,12.0,13.5,17.5,15.33,15.0,15.5,13.5,18.5,13.0,12.0,15.0,12.0,17.5,15.0,17.0,15.5,16.0,14.33,7.0
Kenedy,2000410526.0,12.0,15.0,9.0,12.5,13.0,14.33,13.67,15.0,12.5,13.0,13.5,15.5,14.6,11.67,18.25,15.0,16.0,14.5,15.5,8.33,12.0
Amar Forsberg,2000397706.0,18.0,13.33,16.0,16.0,13.0,11.0,9.33,14.0,16.0,8.5,14.5,16.0,11.6,15.33,14.25,14.33,10.0,11.0,16.0,7.0,14.0
Sorin Tudor,2000335174.0,20.0,13.0,13.0,13.0,9.5,12.67,9.0,13.0,13.0,9.0,11.0,16.0,12.4,13.67,14.5,13.67,12.0,10.0,14.5,7.67,18.0
Nicolai Witt,2000322718.0,19.0,14.33,12.0,14.0,14.0,12.67,11.0,16.0,14.0,12.5,15.0,13.75,13.4,13.67,16.0,15.33,10.0,13.0,17.0,9.67,16.0
Carlos Soler,67196204.0,10.0,14.0,11.0,13.5,14.5,14.0,14.67,12.5,13.5,14.0,13.5,13.75,13.8,13.0,14.25,13.33,14.0,15.5,13.5,14.0,10.0
Eduardo Camavinga,49056243.0,13.0,14.67,10.0,16.5,16.0,15.0,13.0,13.5,16.5,14.5,15.0,14.25,14.4,16.0,15.5,14.67,14.0,15.5,14.0,11.33,16.0
Manuel Locatelli,43167354.0,14.0,15.67,11.0,14.5,16.0,14.67,14.33,14.0,14.5,14.0,14.5,15.5,15.0,13.67,14.0,14.67,14.0,16.0,14.0,13.0,15.0
Duško Čikić,2000191147.0,17.0,13.67,10.0,13.0,13.0,13.67,12.0,13.5,13.0,12.0,13.5,15.75,13.4,13.0,15.75,14.0,10.0,13.5,16.0,12.33,16.0
Nuno Mendes,83261910.0,13.0,14.33,11.0,13.5,14.5,15.33,14.0,14.0,13.5,15.0,14.0,12.5,14.4,13.67,15.75,15.0,14.0,13.5,14.5,11.33,13.0
Andrea Papetti,43425644.0,17.0,14.33,16.0,13.5,12.0,12.0,10.67,13.5,13.5,11.5,13.5,14.0,12.6,13.67,15.25,14.33,11.0,12.0,14.5,9.67,13.0
Karl-Heinz Heckenberger,2000232571.0,14.0,15.0,9.0,13.0,18.0,17.67,15.0,15.0,13.0,16.5,13.0,14.0,16.2,11.67,14.75,15.67,17.0,17.5,15.0,15.33,12.0
Gianluigi Donnarumma,43252073.0,18.0,15.0,6.0,16.0,7.5,13.0,5.33,16.0,16.0,5.0,16.0,12.75,13.4,11.0,13.75,16.33,2.0,7.5,16.0,2.67,7.0
