Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
14.0,12.666666666666666,10.0,9.0,17.0,14.666666666666666,13.25,12.0,9.0,15.5,10.0,13.25,13.6,7.666666666666667,17.0,12.666666666666666,12.5,14.333333333333334,13.0,8.0
9.0,14.333333333333334,11.0,11.0,14.0,13.333333333333334,13.0,14.5,11.0,12.5,13.0,14.25,13.8,10.333333333333334,14.25,14.333333333333334,13.0,13.333333333333334,11.5,11.0
18.0,15.0,13.0,14.0,16.0,15.666666666666666,15.5,15.0,14.0,15.5,15.5,11.75,15.4,12.666666666666666,15.5,15.0,16.5,16.0,14.5,13.5
13.0,14.333333333333334,11.0,14.5,14.5,12.333333333333334,14.0,15.5,14.5,12.0,14.5,14.75,13.4,14.0,14.5,14.666666666666666,12.5,14.666666666666666,15.5,13.0
15.0,15.333333333333334,17.0,14.0,14.5,15.0,13.75,13.5,14.0,15.5,13.5,12.75,14.8,11.666666666666666,15.0,14.666666666666666,15.0,14.666666666666666,15.0,10.0
15.0,14.333333333333334,12.0,13.5,17.5,15.333333333333334,15.0,15.5,13.5,18.5,13.0,12.0,15.0,12.0,17.5,15.0,16.0,15.333333333333334,16.0,11.0
12.0,15.0,9.0,12.5,13.0,14.333333333333334,13.5,15.0,12.5,13.0,13.5,15.5,14.6,11.666666666666666,18.25,15.0,14.5,14.0,15.5,12.5
18.0,13.333333333333334,16.0,16.0,13.0,11.0,10.25,14.0,16.0,8.5,14.5,16.0,11.6,15.333333333333334,14.25,14.333333333333334,11.5,11.666666666666666,16.0,13.5
20.0,13.0,13.0,13.0,9.5,12.666666666666666,8.75,13.0,13.0,9.0,11.0,16.0,12.4,13.666666666666666,14.5,13.666666666666666,10.0,9.333333333333334,14.5,13.0
19.0,14.333333333333334,12.0,14.0,14.0,12.666666666666666,12.0,16.0,14.0,12.5,15.0,13.75,13.4,13.666666666666666,16.0,15.333333333333334,12.5,13.666666666666666,17.0,15.5
10.0,14.0,11.0,13.5,14.5,14.0,14.5,12.5,13.5,14.0,13.5,13.75,13.8,13.0,14.25,13.333333333333334,14.0,15.0,13.5,12.0
13.0,14.666666666666666,10.0,16.5,16.0,15.0,13.75,13.5,16.5,14.5,15.0,14.25,14.4,16.0,15.5,14.666666666666666,15.0,15.666666666666666,14.0,16.0
14.0,15.666666666666666,11.0,14.5,16.0,14.666666666666666,14.25,14.0,14.5,14.0,14.5,15.5,15.0,13.666666666666666,14.0,14.666666666666666,14.0,15.333333333333334,14.0,14.5
17.0,13.666666666666666,10.0,13.0,13.0,13.666666666666666,12.0,13.5,13.0,12.0,13.5,15.75,13.4,13.0,15.75,14.0,11.0,13.0,16.0,14.0
13.0,14.333333333333334,11.0,13.5,14.5,15.333333333333334,13.75,14.0,13.5,15.0,14.0,12.5,14.4,13.666666666666666,15.75,15.0,13.5,13.333333333333334,14.5,13.0
17.0,14.333333333333334,16.0,13.5,12.0,12.0,11.25,13.5,13.5,11.5,13.5,14.0,12.6,13.666666666666666,15.25,14.333333333333334,12.0,12.333333333333334,14.5,13.0
14.0,15.0,9.0,13.0,18.0,17.666666666666668,15.0,15.0,13.0,16.5,13.0,14.0,16.2,11.666666666666666,14.75,15.666666666666666,16.0,16.666666666666668,15.0,13.5
18.0,15.0,6.0,16.0,7.5,13.0,8.0,16.0,16.0,5.0,16.0,12.75,13.4,11.0,13.75,16.333333333333332,9.0,10.333333333333334,16.0,11.5
16.0,16.666666666666668,2.0,12.0,8.5,10.666666666666666,8.75,17.5,12.0,5.5,13.0,12.5,13.6,8.666666666666666,13.0,16.333333333333332,7.0,10.666666666666666,15.0,7.0
6.0,10.333333333333334,10.0,10.0,15.5,14.0,12.25,11.5,10.0,15.5,11.5,11.75,11.8,7.666666666666667,15.5,12.333333333333334,15.0,13.666666666666666,14.0,9.5
13.0,12.666666666666666,11.0,13.0,16.0,13.333333333333334,13.25,13.0,13.0,16.0,13.5,10.25,13.2,12.666666666666666,15.75,12.666666666666666,14.0,13.333333333333334,13.5,12.0
9.0,13.333333333333334,14.0,13.5,14.5,13.666666666666666,12.0,14.0,13.5,12.0,14.5,15.25,13.2,14.333333333333334,16.75,14.333333333333334,12.0,13.0,16.0,15.5
16.0,15.333333333333334,16.0,11.0,15.0,15.333333333333334,13.0,16.5,11.0,14.0,14.5,17.0,15.0,9.0,13.5,16.666666666666668,15.0,14.333333333333334,17.5,12.0
7.0,13.333333333333334,8.0,10.5,17.5,15.0,14.0,12.0,10.5,16.0,10.0,11.25,14.0,9.666666666666666,13.5,13.0,11.5,15.0,11.0,11.0
8.0,15.333333333333334,9.0,13.5,15.0,17.0,15.25,15.0,13.5,16.5,14.5,13.75,16.2,13.0,16.75,15.333333333333334,15.5,16.333333333333332,15.5,12.0
9.0,13.666666666666666,10.0,12.0,16.0,13.666666666666666,14.0,13.0,12.0,16.0,13.5,12.5,13.6,11.333333333333334,16.0,13.333333333333334,14.0,15.0,14.0,10.5
17.0,12.666666666666666,1.0,10.5,9.5,10.333333333333334,7.25,16.0,10.5,7.5,11.0,11.0,11.2,8.0,12.5,15.0,5.0,9.0,12.0,4.5
14.0,14.333333333333334,15.0,15.0,11.5,11.333333333333334,11.25,16.0,15.0,10.5,14.5,14.25,12.6,15.0,17.0,15.333333333333334,12.0,12.333333333333334,17.0,13.5
14.0,13.0,9.0,12.5,15.5,14.333333333333334,14.5,13.5,12.5,15.0,14.0,13.0,13.6,11.333333333333334,17.75,13.666666666666666,15.0,14.666666666666666,16.5,11.5
9.0,15.333333333333334,12.0,13.0,17.0,14.666666666666666,13.75,15.5,13.0,16.0,12.0,12.25,15.2,11.666666666666666,15.25,15.0,15.5,14.0,15.0,11.0
16.0,14.666666666666666,12.0,14.5,15.5,14.333333333333334,14.25,13.5,14.5,14.5,13.0,15.25,14.2,14.333333333333334,17.0,14.333333333333334,13.0,14.0,17.5,13.0
13.0,13.333333333333334,11.0,13.5,17.0,15.333333333333334,14.0,13.0,13.5,16.5,15.5,12.75,14.2,12.666666666666666,17.25,13.666666666666666,17.5,15.666666666666666,16.0,12.0
4.0,15.333333333333334,6.0,14.5,16.5,15.333333333333334,15.25,14.0,14.5,16.0,15.5,12.75,15.4,12.333333333333334,14.25,14.333333333333334,17.0,16.0,12.0,11.0
