Player,UID,WM,W,DW,IW,IF,WG
Rasmus Jönsson,2000397710.0,12.8,13.9,10.1,14.9,14.2,13.58
Olexandr Zinchenko,71081391.0,12.9,13.4,12.3,13.3,12.9,12.83
Ryan Gravenberch,37071197.0,14.8,15.0,13.6,15.6,15.1,15.08
Teun Koopmeiners,37057982.0,13.9,13.0,14.3,14.2,13.5,12.83
Ibrahim Zagré,2000435828.0,13.5,14.7,12.2,15.4,15.4,14.92
Manuel Oliveira,2000434824.0,14.5,16.1,12.2,15.5,15.3,15.67
Kenedy,2000410526.0,14.9,15.5,14.0,15.4,14.4,14.67
Amar Forsberg,2000397706.0,12.0,11.3,13.9,12.3,11.6,12.25
Sorin Tudor,2000335174.0,12.5,12.6,14.3,12.2,11.6,13.25
Nicolai Witt,2000322718.0,12.9,13.2,13.7,12.8,12.2,13.58
Carlos Soler,67196204.0,13.4,13.7,13.3,14.4,14.3,13.17
Eduardo Camavinga,49056243.0,14.0,13.6,14.5,15.2,14.5,13.25
Manuel Locatelli,43167354.0,14.0,13.4,14.2,14.9,14.2,13.25
Duško Čikić,2000191147.0,12.6,13.1,13.9,13.1,12.8,13.17
Nuno Mendes,83261910.0,14.3,14.5,14.2,14.8,14.4,14.08
Andrea Papetti,43425644.0,12.2,12.2,13.2,13.0,12.5,12.92
Karl-Heinz Heckenberger,2000232571.0,14.5,14.4,12.6,16.0,16.1,13.92
Gianluigi Donnarumma,43252073.0,9.3,9.7,11.2,10.4,9.3,10.08
Morten Sørensen,2000189231.0,9.7,9.5,10.9,11.2,9.6,9.42
Mamoudou Camara,2000197834.0,12.6,13.4,9.6,14.2,14.7,12.5
Nico Williams,67276230.0,13.1,14.2,12.0,13.8,13.6,13.83
Marco Alves,2000189590.0,13.3,13.1,14.2,13.6,13.2,12.83
Romelu Lukaku,18007344.0,13.7,14.3,12.2,14.4,15.0,14.58
Juan Guerra,2000511832.0,13.0,12.6,11.3,14.9,14.2,11.75
Jhonatan Mejía,2000415671.0,14.8,15.6,13.7,16.5,16.0,14.42
Luís Ricardo,2000410716.0,14.0,14.7,12.5,15.4,14.9,13.83
Michele Ceccarelli,2000323829.0,7.9,8.0,9.4,9.5,8.7,8.17
Alfredo Piecenti,2000272907.0,12.3,12.8,13.6,12.2,12.0,13.08
Abdulaziz Yılmazer,2000433229.0,13.6,15.3,12.0,14.5,14.0,14.67
Juan Carlos,2000192885.0,14.3,15.6,12.2,15.1,14.8,14.75
Luciano Puglisi,2000191663.0,13.9,14.6,14.5,14.7,13.8,14.5
Youssoufa Moukoko,2000074825.0,13.9,15.3,12.0,15.8,16.0,14.75
Thiago Almada,14172522.0,13.8,14.5,12.3,15.4,15.0,12.92
