Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Danilo Rizzo,2000567633.0,10.25,8.75,11.5,10.58,10.5,2.5,11.0,11.0
Eirik Haugland,2000555555.0,4.0,15.0,10.0,14.25,2.25,4.5,1.75,2.25
Leroy Moonen,2000438559.0,2.5,12.88,11.5,13.17,2.0,2.5,2.5,1.75
Gaëtan Redon,2000433840.0,2.0,13.62,12.75,13.0,2.75,2.0,2.5,3.0
Milton Mijoch,2000272968.0,3.0,12.25,16.5,9.25,3.0,2.5,3.25,4.0
Stavros Kallitsounakis,2000232881.0,3.0,14.25,13.5,10.58,2.25,2.5,1.5,3.0
Fulvio Colacicco,2000191153.0,3.5,15.0,13.0,13.25,3.0,2.5,2.5,1.75
Luiz Felipe,19225765.0,2.25,14.5,13.5,16.5,2.25,3.0,2.0,1.75
Raniero Cini,2000567637.0,4.5,13.88,15.0,11.0,2.75,3.0,1.5,3.25
Klajdi Ferati,2000567635.0,2.0,11.62,10.75,12.83,2.75,3.0,4.25,3.25
Davide Costarella,2000512160.0,12.25,9.0,11.0,10.0,10.5,11.0,11.5,9.0
Vitalijs Cvetkovs,2000507392.0,2.5,13.25,14.0,10.17,2.5,2.0,1.5,3.0
Mauro Cirelli,2000435220.0,2.25,14.88,15.0,11.67,2.25,2.5,2.75,2.25
Marcus Andersson,2000397891.0,3.0,15.25,15.0,10.67,2.0,4.5,3.25,1.5
Marcus Andersson,2000397735.0,3.0,14.75,15.0,10.08,1.75,4.0,2.25,3.5
Miel Devos,2000199510.0,2.25,12.38,11.0,12.58,2.75,1.5,3.0,2.75
Niklas Süle,91107360.0,2.0,12.25,12.0,14.5,3.25,2.5,3.25,2.25
Michele Di Gregorio,43161669.0,14.0,11.25,9.5,11.5,13.0,10.0,14.0,10.5
Tahith Chong,37058361.0,2.5,11.75,16.5,11.58,2.25,2.0,3.5,4.0
Donyell Malen,37055844.0,2.5,15.25,16.0,12.67,3.0,2.0,2.0,2.5
Donny van de Beek,37048153.0,1.5,13.5,11.5,13.67,2.25,1.0,2.0,2.75
Robin Gosens,37041773.0,2.5,12.12,11.75,14.92,2.75,3.5,2.25,2.5
Kevin De Bruyne,18004457.0,2.5,7.25,5.5,14.17,1.5,2.0,3.0,2.75
Federico Brancolini,43357008.0,12.5,8.38,11.5,14.0,11.25,5.0,14.5,12.5
Daniel Lamas,2000568699.0,2.0,14.75,15.5,11.25,2.25,3.0,3.5,2.75
Franco Ferraro,2000325869.0,3.0,15.75,17.0,12.33,2.0,3.0,2.0,3.0
Riccardo Sottil,43270713.0,2.0,12.88,14.0,11.25,2.5,1.0,2.5,3.0
John Gil,2000562142.0,3.0,14.75,15.0,13.83,2.0,1.0,1.0,1.5
Gustavo Fernández,2000539166.0,1.0,15.0,15.5,13.5,2.5,1.0,1.0,2.5
Ferran Torres,89056845.0,2.25,13.5,15.5,12.33,2.75,2.0,3.25,2.0
Christopher Nkunku,85140301.0,3.0,12.75,14.0,13.17,3.0,2.0,2.0,3.0
Mohamed Ihattaren,37073834.0,2.25,13.12,13.5,11.58,2.75,2.0,3.5,2.25
Anyelo Oropesa,2000606155.0,2.5,14.25,12.5,13.0,2.0,3.0,3.0,1.5
Davide Bettella,43316726.0,2.5,15.0,15.5,14.67,1.0,2.0,3.0,2.0
Roque Rébora,2000285968.0,2.0,14.5,13.5,15.0,1.0,2.0,2.0,2.0
Josha Vagnoman,91184445.0,2.0,13.5,15.5,12.5,2.25,2.0,2.75,1.5
Gabriele Zappa,43272248.0,3.0,14.25,13.25,13.75,2.75,3.0,1.75,3.25
Thomas Strakosha,43115047.0,17.0,12.5,10.5,14.58,11.5,11.0,15.5,14.0
Guillermo Vaccarezza,2000489469.0,2.0,16.0,15.5,15.17,2.0,1.0,3.0,1.5
