Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
13.0,7.666666666666667,0.0,9.0,4.75,6.333333333333333,3.75,12.5,9.0,1.5,10.75,9.5,6.7,6.0,10.5,11.166666666666666,5.25,5.0,9.0,3.75
15.0,13.0,12.0,12.75,13.75,15.166666666666666,11.125,13.0,12.75,14.0,12.5,12.25,13.3,12.833333333333334,12.875,14.666666666666666,11.75,12.5,15.5,13.25
10.0,13.5,9.0,11.5,12.75,12.666666666666666,12.25,14.25,11.5,10.5,10.25,12.875,13.0,10.333333333333334,12.75,14.0,10.5,13.0,14.75,11.25
15.5,12.833333333333334,16.5,10.5,13.0,10.0,10.375,13.25,10.5,12.0,11.0,13.25,10.9,11.5,13.25,13.5,10.25,11.5,11.75,11.25
4.0,10.5,7.0,7.25,11.5,10.0,10.75,9.75,7.25,12.75,9.75,10.125,10.4,5.666666666666667,15.875,9.666666666666666,12.5,11.166666666666666,10.5,7.75
7.0,13.166666666666666,4.0,10.0,13.5,12.333333333333334,11.625,13.0,10.0,12.75,10.5,10.25,12.8,9.666666666666666,13.875,12.833333333333334,15.25,12.333333333333334,13.5,9.75
13.0,11.5,10.0,9.75,12.0,13.333333333333334,11.125,14.0,9.75,10.75,11.5,11.875,12.4,10.166666666666666,13.75,13.5,9.5,11.166666666666666,15.25,10.25
15.0,16.0,17.0,14.5,13.5,14.666666666666666,11.25,15.0,14.5,10.5,14.5,17.25,15.0,14.666666666666666,14.25,15.666666666666666,11.5,13.333333333333334,14.5,15.5
4.0,10.0,9.0,6.75,13.0,13.166666666666666,11.625,9.0,6.75,16.5,9.0,13.375,11.1,6.333333333333333,16.375,10.666666666666666,12.25,12.5,12.5,7.25
17.0,13.0,9.0,10.5,8.5,10.5,9.5,15.25,10.5,9.25,12.0,11.375,11.8,11.0,11.5,14.0,9.25,10.833333333333334,10.5,12.0
11.0,6.833333333333333,2.0,10.5,4.0,6.5,5.5,10.75,10.5,2.25,7.75,11.375,6.7,7.5,11.0,9.333333333333334,5.0,6.333333333333333,7.5,5.25
10.0,11.666666666666666,4.0,7.0,11.5,13.666666666666666,9.75,11.0,7.0,12.0,8.0,11.5,12.4,6.333333333333333,14.5,12.0,10.0,11.333333333333334,11.0,9.0
13.0,11.166666666666666,10.0,10.0,10.75,10.666666666666666,12.25,13.75,10.0,13.5,10.75,12.625,11.2,8.0,15.25,12.333333333333334,11.5,12.333333333333334,13.75,9.25
5.0,11.166666666666666,5.0,10.5,12.0,14.333333333333334,10.625,11.0,10.5,13.25,9.5,11.0,12.4,9.833333333333334,15.25,12.166666666666666,14.0,11.5,13.75,7.75
8.0,8.5,7.0,7.75,15.0,14.0,9.875,10.5,7.75,15.75,10.5,8.25,11.0,6.166666666666667,15.875,11.166666666666666,14.25,12.0,14.0,9.25
10.0,14.0,8.0,12.5,17.5,13.166666666666666,15.75,14.25,12.5,15.5,13.5,11.25,13.7,9.833333333333334,12.375,13.833333333333334,15.75,16.833333333333332,13.75,12.5
16.0,12.166666666666666,15.0,14.75,8.25,11.0,9.625,12.25,14.75,6.5,16.25,10.25,11.0,14.5,12.125,13.0,10.0,11.333333333333334,15.0,14.25
13.0,10.666666666666666,2.0,11.5,9.0,9.333333333333334,7.75,11.5,11.5,6.75,10.5,12.25,9.8,8.166666666666666,9.75,11.333333333333334,5.75,9.666666666666666,11.0,5.5
13.0,12.833333333333334,6.0,9.25,15.0,12.0,12.75,9.75,9.25,15.75,11.25,12.875,12.4,7.166666666666667,15.125,10.666666666666666,13.0,13.5,10.0,8.75
9.0,12.666666666666666,13.0,11.5,15.0,13.333333333333334,13.0,12.0,11.5,14.0,14.0,12.25,12.8,9.333333333333334,16.25,12.666666666666666,16.0,14.666666666666666,14.5,10.5
