Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Raf Rosseel,2000568334.0,10.7,10.7,10.7,10.7,9.95,9.95,10.1,10.1,10.12,10.12
Simone Dondi,2000567839.0,11.95,11.95,11.95,11.95,13.6,13.6,12.05,12.05,12.5,12.5
Marcello Criaco,2000567179.0,13.5,13.5,13.5,13.5,13.65,13.65,13.0,13.0,12.46,12.46
Riccardo Gozzi,2000506776.0,12.9,12.9,12.9,12.9,12.05,12.05,11.95,11.95,12.38,12.38
Borja Molina,2000506770.0,11.35,11.35,11.35,11.35,11.65,11.65,11.7,11.7,11.96,11.96
Houssin Diouri,2000506761.0,11.9,11.9,11.9,11.9,11.7,11.7,11.7,11.7,11.25,11.25
Kenan Mehic,2000506137.0,12.7,12.7,12.7,12.7,13.35,13.35,12.4,12.4,13.04,13.04
Marko Čulić,2000505302.0,13.4,13.4,13.4,13.4,11.7,11.7,12.8,12.8,11.42,11.42
Jiri Mlynek,2000437872.0,12.55,12.55,12.55,12.55,10.45,10.45,13.25,13.25,11.21,11.21
Rodrigo Neves,2000435249.0,15.3,15.3,15.3,15.3,12.8,12.8,14.2,14.2,12.33,12.33
Claudio Forgione,2000434046.0,11.3,11.3,11.3,11.3,11.9,11.9,10.5,10.5,11.58,11.58
Claudio Crippa,2000434044.0,8.3,8.3,8.3,8.3,8.95,8.95,8.05,8.05,9.62,9.62
Christophe Mercier,2000431621.0,13.5,13.5,13.5,13.5,13.0,13.0,13.0,13.0,12.92,12.92
Lukas Elsik,2000193022.0,12.15,12.15,12.15,12.15,12.2,12.2,12.55,12.55,12.08,12.08
Alessandro Bertini,2000190822.0,13.45,13.45,13.45,13.45,12.5,12.5,13.0,13.0,11.83,11.83
Fábio Gonçalves,2000189591.0,10.65,10.65,10.65,10.65,12.1,12.1,10.5,10.5,11.67,11.67
Jonas Pfaff,2000186472.0,12.6,12.6,12.6,12.6,11.55,11.55,12.0,12.0,10.96,10.96
Leonardo Rossi,2000018201.0,10.9,10.9,10.9,10.9,10.25,10.25,11.4,11.4,10.46,10.46
Mateus Fernandes,83320124.0,13.0,13.0,13.0,13.0,11.8,11.8,12.35,12.35,10.75,10.75
Jokin Ezkieta,67196201.0,9.3,9.3,9.3,9.3,7.65,7.65,8.75,8.75,8.04,8.04
Mirko Pigliacelli,43061419.0,9.7,9.7,9.7,9.7,6.5,6.5,8.5,8.5,6.33,6.33
Filip Krastev,22073681.0,14.4,14.4,14.4,14.4,13.6,13.6,13.9,13.9,12.5,12.5
