Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Raf Rosseel,2000568334.0,12.1,10.8,12.1,11.5,12.2,10.65,10.5,12.0
Simone Dondi,2000567839.0,11.6,10.65,10.5,12.25,12.25,11.9,12.05,11.2
Marcello Criaco,2000567179.0,11.15,11.25,10.25,12.55,12.45,12.2,12.95,11.25
Riccardo Gozzi,2000506776.0,12.0,11.3,9.9,12.3,12.5,12.25,13.25,11.15
Borja Molina,2000506770.0,11.0,10.85,9.15,11.35,10.9,11.8,11.85,10.15
Houssin Diouri,2000506761.0,11.15,11.0,9.95,11.35,11.25,12.25,12.6,10.25
Kenan Mehic,2000506137.0,12.0,11.8,10.7,12.15,12.0,13.2,13.75,10.85
Marko Čulić,2000505302.0,12.85,11.85,10.3,13.05,13.2,13.25,13.55,11.55
Jiri Mlynek,2000437872.0,11.25,11.15,8.85,11.9,10.85,12.5,12.3,9.9
Rodrigo Neves,2000435249.0,15.0,14.1,13.7,15.0,15.4,14.8,15.5,14.2
Claudio Forgione,2000434046.0,12.2,11.1,13.3,12.0,12.35,10.75,11.25,12.15
Claudio Crippa,2000434044.0,8.6,7.5,12.45,9.3,9.65,7.05,7.9,10.7
Christophe Mercier,2000431621.0,13.6,12.6,12.7,13.9,14.4,12.7,13.7,13.8
Lukas Elsik,2000193022.0,10.6,10.4,8.5,11.55,11.1,12.0,12.95,9.75
Alessandro Bertini,2000190822.0,11.85,11.95,9.7,12.3,12.3,12.9,13.8,11.35
Fábio Gonçalves,2000189591.0,8.9,8.6,9.6,10.6,10.55,10.0,10.3,9.7
Jonas Pfaff,2000186472.0,12.4,11.9,10.3,12.7,12.8,12.05,12.3,11.9
Leonardo Rossi,2000018201.0,9.55,9.5,6.55,9.45,8.8,11.9,12.15,7.55
Mateus Fernandes,83320124.0,12.1,11.55,9.8,12.55,12.85,13.15,12.95,11.6
Jokin Ezkieta,67196201.0,11.25,9.7,9.9,10.6,11.25,9.45,9.6,10.45
Mirko Pigliacelli,43061419.0,12.25,10.75,8.9,10.15,10.8,10.65,10.25,9.85
Filip Krastev,22073681.0,13.8,13.5,10.7,13.5,13.6,14.6,14.9,12.6
Seppe Welters,18115983.0,8.05,7.2,8.9,7.0,7.6,7.2,7.2,7.85
Exequiel Palacios,14110846.0,14.4,14.0,13.9,14.1,14.3,14.7,14.6,13.8
Alberto Serra,2000506756.0,12.4,11.8,12.1,13.7,13.3,12.8,13.7,12.5
Oliveira,2000567177.0,12.25,12.55,9.3,12.45,12.4,13.35,14.35,10.85
Selahattin Erdoğan,2000512814.0,14.0,13.9,12.0,14.0,13.9,15.1,15.1,13.0
Mikołaj Wolanski,2000512116.0,13.1,12.25,13.55,13.15,13.7,11.75,11.95,13.6
Wagner Ricardo,2000506775.0,10.85,10.6,9.8,11.8,11.95,11.35,12.8,10.45
Tanaboon Arteaga,2000506774.0,12.8,11.55,10.6,12.25,13.2,11.85,11.8,11.75
Davide Bosetti,2000506773.0,14.6,14.1,12.1,15.1,15.0,15.4,16.3,13.4
Nelsón Barrera,2000497901.0,10.8,10.75,8.9,10.55,10.75,11.7,11.85,9.4
Gaspar Andrade,2000437519.0,10.2,10.8,9.2,11.45,10.8,11.6,12.55,9.75
Dinis Oliveira,2000434809.0,10.85,10.25,13.1,11.05,11.2,10.45,10.55,11.7
Boubakar Sissako,2000198829.0,12.15,11.0,12.55,11.5,12.2,10.65,10.2,12.55
Jan Bednarek,96047750.0,12.95,11.35,14.45,12.5,12.85,10.5,10.55,13.9
Anthony Martial,85086702.0,12.7,11.8,10.7,12.9,12.4,13.0,13.2,11.4
Fikayo Tomori,28097980.0,13.7,12.35,14.7,13.0,13.6,12.05,12.5,14.2
Loris Zunino,2000506778.0,12.95,12.15,11.65,12.85,13.4,13.0,14.1,12.65
Benjamín Croce,2000377768.0,13.9,13.55,11.15,14.25,14.1,14.5,15.35,12.55
Héctor Flores,2000285908.0,14.7,14.1,12.7,15.8,15.7,15.0,15.9,14.2
Lisandru Tramoni,49056370.0,13.9,13.2,11.2,13.4,14.1,14.2,14.4,12.9
Egidio Guidi,2000190821.0,11.3,10.35,14.55,12.15,12.5,10.0,10.95,13.05
Óscar,67228635.0,13.9,13.5,11.5,13.5,13.55,14.2,13.9,12.3
Gennaro Bressan,2000506772.0,13.9,13.0,13.8,14.8,14.9,13.1,14.2,14.8
Cristian Carlos Iglesias,2000511849.0,12.0,12.7,12.0,12.5,12.2,13.2,12.9,12.3
Jost Kunz,2000504128.0,12.8,11.7,14.5,13.3,13.3,11.3,12.2,14.4
Alphonse Areola,85027976.0,13.5,11.45,11.4,12.75,13.0,11.15,11.2,12.3
Ronaldo Vieira,29161106.0,14.0,13.25,13.15,13.55,13.9,13.35,13.25,13.9
Davide Calabria,43123020.0,12.9,13.0,13.7,13.2,12.8,12.9,12.8,13.7
Alessandro Romanò,2000434040.0,14.5,14.35,14.5,14.2,14.55,13.55,13.55,15.1
Fabinho,19183676.0,15.1,14.3,14.3,14.6,14.7,13.9,13.8,15.1
Franck Kessié,13136664.0,15.0,14.1,15.8,15.7,15.5,14.2,14.7,15.4
Lorenzo Di Fusco,2000190824.0,13.6,13.2,11.3,13.25,13.2,13.7,14.25,11.65
Davinson Sánchez,76023027.0,12.4,11.2,13.4,12.5,12.5,11.4,11.8,12.8
Batuhan Kör,70131652.0,12.8,13.0,10.65,13.1,12.8,14.2,14.4,11.85
Wilfried Singo,12078947.0,13.2,13.0,13.9,13.2,13.1,13.2,13.3,13.6
