Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
14.5,11.666666666666666,7.5,12.5,11.25,10.5,11.25,12.75,12.5,8.75,11.25,11.375,11.1,12.166666666666666,11.5,12.166666666666666,8.5,12.166666666666666,14.0,12.0
6.0,11.666666666666666,8.0,11.0,12.0,9.833333333333334,13.75,13.5,11.0,13.0,9.75,14.0,11.3,8.333333333333334,14.75,11.666666666666666,11.5,14.166666666666666,11.5,9.5
5.0,9.833333333333334,8.0,9.5,15.0,10.833333333333334,12.875,11.5,9.5,14.5,10.75,10.625,10.8,7.166666666666667,13.75,10.333333333333334,12.5,13.666666666666666,14.0,8.75
17.5,12.5,10.5,9.5,14.5,12.666666666666666,11.375,12.75,9.5,14.5,8.5,8.5,12.9,8.833333333333334,12.75,12.166666666666666,11.25,12.833333333333334,13.75,10.25
18.0,11.833333333333334,9.0,9.5,11.75,11.666666666666666,11.5,12.75,9.5,11.0,10.75,8.875,11.8,8.0,12.0,12.333333333333334,13.5,12.0,12.25,8.75
10.5,8.833333333333334,7.5,8.5,15.75,9.833333333333334,12.5,10.5,8.5,13.75,10.25,11.25,9.6,7.5,15.0,9.666666666666666,11.0,13.166666666666666,13.0,9.5
14.0,12.833333333333334,9.0,11.25,13.75,11.333333333333334,13.0,11.75,11.25,15.0,10.75,12.125,11.8,10.166666666666666,15.875,12.333333333333334,13.5,13.166666666666666,14.0,10.25
12.0,14.333333333333334,8.0,8.25,15.0,13.5,13.0,15.75,8.25,13.0,8.75,12.5,14.3,7.333333333333333,11.375,14.5,12.5,14.833333333333334,10.75,10.25
15.0,9.333333333333334,15.0,9.5,15.5,13.5,11.625,10.25,9.5,14.0,12.0,10.0,10.9,8.833333333333334,10.375,11.5,15.75,13.833333333333334,8.25,9.0
11.0,14.333333333333334,9.0,14.0,16.5,14.666666666666666,14.0,14.5,14.0,14.5,13.0,15.75,14.4,13.0,14.5,14.666666666666666,13.5,16.333333333333332,15.0,12.5
12.0,14.333333333333334,8.0,11.0,11.0,10.5,10.0,14.75,11.0,11.0,11.25,13.0,12.3,10.333333333333334,12.875,14.166666666666666,9.5,10.166666666666666,13.75,10.0
14.0,9.166666666666666,12.0,8.5,7.5,6.666666666666667,7.0,9.25,8.5,6.5,8.25,12.0,7.8,9.0,10.5,9.0,5.0,8.0,13.0,10.75
14.0,13.0,11.0,11.0,15.0,12.0,13.0,16.0,11.0,13.5,10.5,13.25,13.0,11.333333333333334,14.5,14.0,9.0,14.0,16.0,11.0
11.0,8.833333333333334,12.0,8.5,18.0,13.666666666666666,10.875,10.0,8.5,14.25,10.0,10.5,11.2,8.166666666666666,15.25,10.5,12.0,12.833333333333334,11.75,7.75
8.0,11.833333333333334,9.0,9.0,15.25,14.666666666666666,11.375,11.0,9.0,15.0,11.0,8.75,13.2,8.0,13.375,11.833333333333334,11.75,12.666666666666666,11.5,8.75
14.0,10.0,5.0,7.25,13.0,8.833333333333334,9.375,10.75,7.25,11.0,8.25,12.75,9.5,5.333333333333333,14.125,10.166666666666666,9.0,9.666666666666666,10.75,6.75
7.5,10.333333333333334,8.5,10.5,14.25,11.166666666666666,13.0,12.75,10.5,12.75,9.25,10.875,11.3,10.166666666666666,12.0,11.166666666666666,10.5,14.166666666666666,11.5,10.5
9.0,10.166666666666666,14.0,10.25,12.5,12.0,10.0,8.25,10.25,12.75,11.25,7.125,10.2,8.166666666666666,13.625,10.666666666666666,16.5,11.833333333333334,10.5,10.0
3.5,12.0,7.5,10.25,15.0,11.666666666666666,13.375,11.5,10.25,11.5,9.75,11.75,11.6,9.666666666666666,14.875,12.0,12.0,15.0,9.75,12.0
14.5,9.333333333333334,5.5,13.0,11.25,9.333333333333334,9.375,10.5,13.0,6.75,10.75,10.75,9.0,9.166666666666666,11.75,10.666666666666666,6.5,11.666666666666666,12.0,6.25
6.5,13.333333333333334,4.5,11.75,10.0,9.5,10.75,12.25,11.75,6.5,12.75,11.25,11.1,8.166666666666666,7.375,12.5,11.0,13.166666666666666,8.25,8.75
6.0,14.0,8.0,12.5,14.5,15.0,14.0,13.0,12.5,15.0,13.0,11.0,14.6,11.666666666666666,14.75,13.333333333333334,15.0,15.333333333333334,10.5,12.5
13.5,9.0,2.0,9.75,3.0,7.166666666666667,6.0,8.25,9.75,3.0,9.25,10.75,7.5,6.833333333333333,12.125,9.166666666666666,5.25,6.5,9.75,5.75
8.0,15.0,8.0,13.5,14.5,13.333333333333334,14.25,13.0,13.5,13.5,15.0,15.75,14.0,13.0,13.75,13.666666666666666,15.5,15.333333333333334,13.0,14.5
