Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Eljif Elmas,47064795.0,13.0,15.17,11.0,13.75,16.0,14.33,15.17,13.25,13.75,16.25,14.75,13.62,14.6,11.83,14.88,14.0,15.5,16.5,12.5,13.33,11.0
Domenico Cifeca,2000627365.0,17.0,15.17,10.0,11.0,9.5,12.83,7.83,15.5,11.0,7.75,11.5,13.38,13.7,12.0,14.5,15.5,9.5,8.5,14.0,5.67,14.0
Rui Castro,2000434830.0,11.0,13.0,7.0,11.25,11.5,9.5,10.33,12.25,11.25,10.0,11.25,12.25,11.5,9.67,12.38,11.5,12.0,11.25,10.75,9.5,8.5
Rui Quintanilha,2000567666.0,6.0,10.33,8.0,9.25,10.5,5.83,11.5,9.75,9.25,11.25,7.75,11.25,7.9,8.83,11.25,9.5,4.0,13.25,13.75,5.17,14.0
Giuseppe Fieramonti,2000507377.0,6.0,11.67,12.0,11.0,16.0,13.67,12.33,12.0,11.0,14.0,10.5,12.5,12.8,9.67,13.5,12.0,15.0,13.5,13.5,13.0,6.0
Andrea Marras,2000436326.0,7.0,11.5,7.0,10.5,16.25,12.67,13.83,12.25,10.5,14.0,10.25,11.88,12.4,8.67,14.75,11.67,12.5,15.25,13.75,12.83,6.0
Jaroslav Rusnak,2000434077.0,13.0,8.67,8.0,9.5,14.25,12.67,10.83,11.5,9.5,13.25,9.75,12.5,11.0,8.17,15.0,10.67,14.0,12.5,11.5,12.0,2.5
Maurizio Tagliani,2000434020.0,15.0,12.0,13.0,8.75,13.5,10.33,12.33,11.75,8.75,14.5,8.5,9.88,11.0,8.17,16.25,11.83,8.0,13.5,12.75,9.33,7.5
Ivan Stanić,2000431844.0,5.5,13.17,11.5,11.5,15.75,11.17,14.0,14.5,11.5,13.75,11.25,10.25,12.6,10.83,11.25,13.0,10.0,17.25,11.5,12.0,10.0
Facundo Duffard,2000418611.0,6.0,10.67,7.0,12.25,13.0,11.83,13.33,10.25,12.25,11.0,10.25,11.0,10.9,9.0,14.62,11.17,13.0,13.75,11.25,10.83,3.5
Diego Valdés,2000415618.0,13.0,11.67,12.0,11.0,18.25,14.33,13.17,13.0,11.0,16.25,10.25,10.75,13.2,9.17,14.25,12.67,14.0,16.5,14.0,13.67,2.5
Peter Toth,2000290755.0,16.0,12.17,10.0,11.0,12.75,12.67,10.83,14.25,11.0,9.5,10.25,12.12,12.6,9.0,13.75,13.33,10.5,12.75,14.25,10.83,5.0
Victor De Martino,2000193930.0,15.0,12.17,9.5,10.0,10.25,11.33,9.67,13.75,10.0,11.5,10.0,10.88,11.8,10.33,13.12,13.0,9.5,11.75,14.0,9.17,13.0
Agostino Santoni,2000193927.0,15.0,8.33,9.0,9.5,9.25,8.67,8.0,11.0,9.5,5.75,10.75,12.25,8.6,10.0,11.62,10.0,7.0,8.75,13.5,6.33,14.0
Carlos Peña,2000192897.0,9.0,13.5,8.0,12.75,9.25,10.0,10.67,12.75,12.75,10.5,13.25,13.0,11.6,12.5,14.38,12.67,10.5,10.25,12.0,6.33,12.0
Nélio Viveiros,2000192852.0,13.0,12.83,16.0,10.0,14.0,14.33,11.17,12.0,10.0,14.75,11.0,13.75,13.2,8.0,12.88,13.17,14.5,14.0,10.0,11.0,5.5
Andrea Merli,2000192307.0,13.0,9.67,8.0,8.25,12.0,7.83,11.17,8.25,8.25,11.5,6.75,10.5,8.3,7.0,14.88,9.17,8.0,11.5,11.75,8.33,8.5
Russel Abega,2000188792.0,15.0,10.0,14.0,12.0,7.5,11.33,7.33,12.5,12.0,6.5,12.0,13.25,10.4,12.33,13.75,12.33,10.0,8.0,14.0,6.0,16.0
Fabián Luzzi,2000048404.0,14.0,9.83,14.0,8.5,13.5,13.33,10.17,9.0,8.5,13.75,10.5,11.75,11.2,7.67,14.12,10.5,13.5,12.0,12.0,13.67,6.5
Marco Friedl,91143703.0,16.0,13.83,11.0,14.75,12.75,10.67,13.0,12.75,14.75,11.0,15.75,12.0,12.0,13.83,13.62,13.0,10.5,13.75,12.5,9.33,12.0
Alessandro Ruggiu,43500722.0,18.5,8.17,2.0,6.5,3.5,10.0,5.5,10.0,6.5,3.5,8.5,11.5,8.4,5.33,7.88,10.83,3.5,7.5,7.0,3.17,1.5
