Player,UID,CD,BPD,NNCB,Lib
Eljif Elmas,47064795.0,12.05,12.75,12.0,13.9
Domenico Cifeca,2000627365.0,14.45,13.65,13.9,12.2
Rui Castro,2000434830.0,9.9,9.45,9.7,10.3
Rui Quintanilha,2000567666.0,8.95,9.6,8.85,9.3
Giuseppe Fieramonti,2000507377.0,9.3,10.0,9.8,11.3
Andrea Marras,2000436326.0,8.55,9.2,8.05,11.0
Jaroslav Rusnak,2000434077.0,7.9,8.1,7.9,8.8
Maurizio Tagliani,2000434020.0,10.4,10.8,10.05,10.15
Ivan Stanić,2000431844.0,10.15,11.3,9.65,12.95
Facundo Duffard,2000418611.0,7.2,8.05,7.5,9.5
Diego Valdés,2000415618.0,9.3,10.4,8.8,11.2
Peter Toth,2000290755.0,9.75,10.5,9.15,10.0
Victor De Martino,2000193930.0,11.6,11.6,11.25,11.25
Agostino Santoni,2000193927.0,11.9,11.15,11.9,9.75
Carlos Peña,2000192897.0,12.15,11.55,12.1,11.75
Nélio Viveiros,2000192852.0,10.65,10.5,10.85,10.9
Andrea Merli,2000192307.0,8.4,8.9,8.5,8.65
Russel Abega,2000188792.0,12.9,12.4,13.3,11.1
Fabián Luzzi,2000048404.0,9.85,10.7,10.35,10.3
Marco Friedl,91143703.0,12.95,12.85,12.6,12.65
Alessandro Ruggiu,43500722.0,8.7,8.05,9.4,6.75
Giovanni Di Lorenzo,43075156.0,12.9,13.0,13.0,13.6
Rohan Evans,2000567837.0,13.2,13.15,13.65,12.65
Alê,2000369925.0,12.55,12.25,12.7,11.15
Matteo Lovato,43318558.0,14.95,14.7,15.15,12.75
Matheus Fernandes,19250978.0,12.8,13.0,12.45,13.85
Luca Pellegrini,43252226.0,12.3,12.5,12.8,13.1
Marc Roca,67211094.0,12.6,12.9,12.1,13.7
Óscar Aranda,2000052060.0,7.5,8.5,7.4,9.25
Wojciech Szczęsny,28009478.0,10.0,9.9,10.5,9.9
Emiliano Gomez,2000627371.0,8.6,9.0,7.9,10.7
Pau López,67178152.0,10.35,9.85,9.75,9.6
Željko Spasić,2000211135.0,12.45,12.9,11.75,13.05
Maxi Gómez,78078886.0,13.6,13.0,13.5,11.9
Aníbal Moreno,14204631.0,11.15,12.45,10.7,13.75
Mady Camara,89058721.0,14.1,13.75,14.5,14.45
Patrick Anonam,2000194988.0,14.05,13.45,13.15,12.4
Giuseppe Andretta,2000567838.0,12.2,11.75,11.95,10.05
Ibrahim Irié Bi,2000567842.0,7.3,8.05,7.75,8.25
Federico Della Torre,2000649129.0,9.9,10.1,9.4,11.6
Luca Chirico,2000507838.0,11.55,11.8,10.25,12.6
