Player,UID,DM,AM,BWM,HB,SV,RGA
Eljif Elmas,47064795.0,12.2,12.35,12.35,12.7,13.3,14.75
Domenico Cifeca,2000627365.0,15.15,15.85,15.85,15.0,13.55,11.7
Rui Castro,2000434830.0,9.75,10.4,10.4,11.0,10.35,10.65
Rui Quintanilha,2000567666.0,10.2,10.85,10.85,10.45,10.4,7.95
Giuseppe Fieramonti,2000507377.0,10.4,10.0,10.0,10.8,10.7,12.9
Andrea Marras,2000436326.0,9.75,9.5,9.5,9.75,10.55,12.65
Jaroslav Rusnak,2000434077.0,9.75,9.35,9.35,9.7,9.8,10.9
Maurizio Tagliani,2000434020.0,10.25,10.4,10.4,10.1,9.9,10.6
Ivan Stanić,2000431844.0,12.0,11.6,11.6,11.05,12.5,13.35
Facundo Duffard,2000418611.0,7.95,7.8,7.8,8.8,9.45,11.15
Diego Valdés,2000415618.0,10.15,9.85,9.85,9.6,10.7,13.5
Peter Toth,2000290755.0,10.65,10.4,10.4,10.25,10.95,11.65
Victor De Martino,2000193930.0,12.6,12.65,12.65,11.9,11.65,11.1
Agostino Santoni,2000193927.0,12.25,11.95,11.95,12.55,11.55,9.05
Carlos Peña,2000192897.0,13.3,13.75,13.75,13.8,12.9,11.1
Nélio Viveiros,2000192852.0,10.0,9.7,9.7,11.2,10.6,12.7
Andrea Merli,2000192307.0,8.75,9.0,9.0,9.3,9.0,8.6
Russel Abega,2000188792.0,13.2,12.5,12.5,12.7,12.1,10.4
Fabián Luzzi,2000048404.0,9.5,9.0,9.0,9.9,10.1,11.7
Marco Friedl,91143703.0,12.4,12.85,12.85,12.5,13.0,12.1
Alessandro Ruggiu,43500722.0,7.9,7.2,7.2,8.9,6.9,8.05
Giovanni Di Lorenzo,43075156.0,12.8,12.7,12.7,12.9,13.5,12.6
Rohan Evans,2000567837.0,13.65,13.0,13.0,13.45,13.4,12.0
Alê,2000369925.0,12.5,12.75,12.75,12.3,11.7,9.9
Matteo Lovato,43318558.0,14.9,14.6,14.6,14.65,14.15,12.2
Matheus Fernandes,19250978.0,13.1,13.05,13.05,12.7,13.55,13.7
Luca Pellegrini,43252226.0,13.0,12.9,12.9,13.5,13.2,13.3
Marc Roca,67211094.0,13.1,13.1,13.1,12.8,13.7,13.6
Óscar Aranda,2000052060.0,7.55,7.5,7.5,7.6,9.2,10.3
Wojciech Szczęsny,28009478.0,9.15,8.75,8.75,10.55,10.55,11.45
Emiliano Gomez,2000627371.0,10.4,10.9,10.9,10.7,10.6,12.6
Pau López,67178152.0,10.55,10.45,10.45,11.05,10.8,11.0
Željko Spasić,2000211135.0,12.7,13.4,13.4,12.6,12.65,14.1
Maxi Gómez,78078886.0,12.9,13.0,13.0,13.5,12.4,12.65
Aníbal Moreno,14204631.0,13.3,13.15,13.15,12.4,13.9,13.9
Mady Camara,89058721.0,14.9,14.9,14.9,15.4,14.85,14.1
Patrick Anonam,2000194988.0,14.2,14.55,14.55,13.1,12.95,11.55
Giuseppe Andretta,2000567838.0,12.05,12.15,12.15,11.5,11.3,9.55
Ibrahim Irié Bi,2000567842.0,7.55,6.85,6.85,7.1,8.15,10.05
Federico Della Torre,2000649129.0,10.9,11.3,11.3,11.2,11.1,13.1
Luca Chirico,2000507838.0,12.4,13.1,13.1,11.95,12.4,13.45
