Player,UID,FB,WB,IWB,CWB,NNFB
Eljif Elmas,47064795.0,12.65,12.85,13.25,13.65,12.1
Domenico Cifeca,2000627365.0,15.3,12.8,13.85,12.08,14.5
Rui Castro,2000434830.0,10.25,9.9,10.3,10.35,10.1
Rui Quintanilha,2000567666.0,10.4,10.0,10.25,10.46,9.95
Giuseppe Fieramonti,2000507377.0,10.4,11.1,10.7,11.85,10.5
Andrea Marras,2000436326.0,10.1,10.65,10.6,11.77,9.15
Jaroslav Rusnak,2000434077.0,10.6,11.25,9.25,11.5,9.3
Maurizio Tagliani,2000434020.0,11.15,11.1,10.15,11.54,9.55
Ivan Stanić,2000431844.0,11.55,11.0,13.1,12.27,10.75
Facundo Duffard,2000418611.0,8.85,9.6,8.8,10.5,8.1
Diego Valdés,2000415618.0,10.3,10.55,10.55,11.96,9.0
Peter Toth,2000290755.0,10.5,9.95,10.8,10.77,9.45
Victor De Martino,2000193930.0,12.45,11.35,11.95,11.23,11.6
Agostino Santoni,2000193927.0,11.95,10.6,11.4,10.27,12.7
Carlos Peña,2000192897.0,13.95,13.25,12.95,12.54,13.5
Nélio Viveiros,2000192852.0,10.05,10.0,10.55,10.85,10.55
Andrea Merli,2000192307.0,9.95,10.3,8.95,10.54,8.8
Russel Abega,2000188792.0,13.2,11.8,12.0,10.85,13.1
Fabián Luzzi,2000048404.0,9.95,10.4,9.95,10.92,9.85
Marco Friedl,91143703.0,12.95,11.75,12.55,12.08,12.2
Alessandro Ruggiu,43500722.0,7.55,5.0,7.15,5.19,8.55
Giovanni Di Lorenzo,43075156.0,12.6,12.0,13.3,12.23,13.0
Rohan Evans,2000567837.0,13.65,12.7,13.25,12.5,14.0
Alê,2000369925.0,12.75,11.05,11.75,10.31,12.3
Matteo Lovato,43318558.0,14.7,12.3,13.9,12.08,14.95
Matheus Fernandes,19250978.0,13.25,13.05,13.75,13.38,12.8
Luca Pellegrini,43252226.0,13.2,13.2,13.1,13.23,13.5
Marc Roca,67211094.0,13.0,11.5,13.7,12.23,12.6
Óscar Aranda,2000052060.0,9.05,10.8,8.45,11.46,7.2
Wojciech Szczęsny,28009478.0,8.05,5.25,10.0,6.65,9.85
Emiliano Gomez,2000627371.0,11.5,12.0,10.6,12.85,9.5
Pau López,67178152.0,10.6,7.45,10.35,8.38,10.2
Željko Spasić,2000211135.0,12.8,12.45,12.75,13.19,11.65
Maxi Gómez,78078886.0,12.3,11.0,11.9,11.23,13.0
Aníbal Moreno,14204631.0,13.5,12.8,13.85,13.19,12.1
Mady Camara,89058721.0,14.9,14.2,15.0,14.15,15.65
Patrick Anonam,2000194988.0,14.25,12.1,12.4,11.85,12.75
Giuseppe Andretta,2000567838.0,12.4,10.4,11.3,9.73,11.3
Ibrahim Irié Bi,2000567842.0,8.15,9.1,8.1,9.65,7.35
Federico Della Torre,2000649129.0,11.5,11.7,10.9,12.54,10.2
Luca Chirico,2000507838.0,12.6,12.5,12.3,13.23,10.75
