Match,Player,UID
#GK,Alessandro Ruggiu,43500722
#GK,Wojciech Szczęsny,28009478
#GK,Pau López,67178152
#DR,Rui Quintanilha,2000567666
#DR,Agostino Santoni,2000193927
#DR,Carlos Peña,2000192897
#DR,Russel Abega,2000188792
#DR,Giovanni Di Lorenzo,43075156
#DR,Alê,2000369925
#DR,Patrick Anonam,2000194988
#DC,Domenico Cifeca,2000627365
#DC,Agostino Santoni,2000193927
#DC,Russel Abega,2000188792
#DC,Marco Friedl,91143703
#DC,Giovanni Di Lorenzo,43075156
#DC,Rohan Evans,2000567837
#DC,Alê,2000369925
#DC,Matteo Lovato,43318558
#DC,Marc Roca,67211094
#DC,Patrick Anonam,2000194988
#DC,Giuseppe Andretta,2000567838
#DL,Rui Quintanilha,2000567666
#DL,Agostino Santoni,2000193927
#DL,Marco Friedl,91143703
#DL,Giovanni Di Lorenzo,43075156
#DL,Rohan Evans,2000567837
#DL,Luca Pellegrini,43252226
#WBR,Rui Quintanilha,2000567666
#WBR,Victor De Martino,2000193930
#WBR,Carlos Peña,2000192897
#WBR,Russel Abega,2000188792
#WBR,Giovanni Di Lorenzo,43075156
#DM,Rui Quintanilha,2000567666
#DM,Ivan Stanić,2000431844
#DM,Agostino Santoni,2000193927
#DM,Russel Abega,2000188792
#DM,Giovanni Di Lorenzo,43075156
#DM,Matheus Fernandes,19250978
#DM,Marc Roca,67211094
#DM,Aníbal Moreno,14204631
#DM,Mady Camara,89058721
#WBL,Andrea Merli,2000192307
#WBL,Marco Friedl,91143703
#WBL,Giovanni Di Lorenzo,43075156
#WBL,Luca Pellegrini,43252226
#MR,Rui Quintanilha,2000567666
#MR,Jaroslav Rusnak,2000434077
#MR,Maurizio Tagliani,2000434020
#MR,Giovanni Di Lorenzo,43075156
#MR,Federico Della Torre,2000649129
#MC,Eljif Elmas,47064795
#MC,Rui Castro,2000434830
#MC,Andrea Marras,2000436326
#MC,Ivan Stanić,2000431844
#MC,Peter Toth,2000290755
#MC,Victor De Martino,2000193930
#MC,Marco Friedl,91143703
#MC,Alê,2000369925
#MC,Matheus Fernandes,19250978
#MC,Marc Roca,67211094
#MC,Željko Spasić,2000211135
#MC,Aníbal Moreno,14204631
#MC,Mady Camara,89058721
#ML,Eljif Elmas,47064795
#ML,Luca Pellegrini,43252226
#ML,Óscar Aranda,2000052060
#AMR,Giuseppe Fieramonti,2000507377
#AMR,Jaroslav Rusnak,2000434077
#AMR,Maurizio Tagliani,2000434020
#AMR,Facundo Duffard,2000418611
#AMR,Nélio Viveiros,2000192852
#AMR,Óscar Aranda,2000052060
#AMR,Ibrahim Irié Bi,2000567842
#AMR,Federico Della Torre,2000649129
#AMR,Luca Chirico,2000507838
#AMC,Eljif Elmas,47064795
#AMC,Rui Castro,2000434830
#AMC,Giuseppe Fieramonti,2000507377
#AMC,Andrea Marras,2000436326
#AMC,Jaroslav Rusnak,2000434077
#AMC,Diego Valdés,2000415618
#AMC,Peter Toth,2000290755
#AMC,Nélio Viveiros,2000192852
#AMC,Fabián Luzzi,2000048404
#AMC,Željko Spasić,2000211135
#AMC,Aníbal Moreno,14204631
#AMC,Mady Camara,89058721
#AMC,Ibrahim Irié Bi,2000567842
#AMC,Luca Chirico,2000507838
#AML,Eljif Elmas,47064795
#AML,Andrea Merli,2000192307
#AML,Óscar Aranda,2000052060
#AML,Emiliano Gomez,2000627371
#STC,Giuseppe Fieramonti,2000507377
#STC,Jaroslav Rusnak,2000434077
#STC,Facundo Duffard,2000418611
#STC,Diego Valdés,2000415618
#STC,Nélio Viveiros,2000192852
#STC,Fabián Luzzi,2000048404
#STC,Óscar Aranda,2000052060
#STC,Emiliano Gomez,2000627371
#STC,Željko Spasić,2000211135
#STC,Maxi Gómez,78078886
#STC,Ibrahim Irié Bi,2000567842
#STC,Federico Della Torre,2000649129
#STC,Luca Chirico,2000507838
