Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Eljif Elmas,47064795,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Domenico Cifeca,2000627365,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rui Castro,2000434830,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Rui Quintanilha,2000567666,0,1,0,1,1,1,0,1,0,0,0,0,0,0
Giuseppe Fieramonti,2000507377,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Andrea Marras,2000436326,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Jaroslav Rusnak,2000434077,0,0,0,0,0,0,0,1,0,0,1,1,0,1
Maurizio Tagliani,2000434020,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Ivan Stanić,2000431844,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Facundo Duffard,2000418611,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Diego Valdés,2000415618,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Peter Toth,2000290755,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Victor De Martino,2000193930,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Agostino Santoni,2000193927,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Carlos Peña,2000192897,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Nélio Viveiros,2000192852,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Andrea Merli,2000192307,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Russel Abega,2000188792,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Fabián Luzzi,2000048404,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Marco Friedl,91143703,0,0,1,1,0,0,1,0,1,0,0,0,0,0
Alessandro Ruggiu,43500722,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanni Di Lorenzo,43075156,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Rohan Evans,2000567837,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Alê,2000369925,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Matteo Lovato,43318558,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matheus Fernandes,19250978,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Luca Pellegrini,43252226,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Marc Roca,67211094,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Óscar Aranda,2000052060,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Wojciech Szczęsny,28009478,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Gomez,2000627371,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Pau López,67178152,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Željko Spasić,2000211135,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Maxi Gómez,78078886,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aníbal Moreno,14204631,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Mady Camara,89058721,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Patrick Anonam,2000194988,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Giuseppe Andretta,2000567838,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ibrahim Irié Bi,2000567842,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Federico Della Torre,2000649129,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Luca Chirico,2000507838,0,0,0,0,0,0,0,0,0,0,1,1,0,1
