Player,UID,AMC,AP,T,SS,AM,EG
Pavlos Rassias,2000237428.0,13.9,13.9,13.9,14.15,14.4,14.9
Christian,2000632607.0,13.05,13.05,13.05,13.4,13.45,13.25
Pier Giorgio Taddei,2000571737.0,12.2,11.9,12.2,11.8,12.3,11.7
Luca Volpi,2000569300.0,9.45,8.85,9.45,9.4,9.15,8.45
Simone Barcellona,2000508897.0,12.1,12.5,12.1,12.3,12.6,12.95
Giancarlo Spozio,2000508197.0,12.8,13.25,12.8,12.05,12.5,12.85
Riccardo Leonardi,2000442509.0,10.3,11.4,10.3,10.2,11.2,11.8
Fabio Romani,2000439764.0,10.5,9.5,10.5,10.0,10.25,9.35
Simone Scotta,2000437494.0,14.05,14.65,14.05,13.25,14.35,13.75
Giovanni Piva,2000325053.0,8.25,9.1,8.25,8.2,8.4,9.1
Martin De Gasperi,2000325005.0,12.8,13.2,12.8,12.95,12.45,12.7
Eligio Genchi,2000323481.0,13.3,14.1,13.3,13.05,13.6,13.4
Ludovico Serretti,2000199979.0,10.3,11.1,10.3,12.3,11.2,10.7
Pablo Torre,2000040347.0,12.45,12.95,12.45,12.0,12.85,12.95
Yoane Wissa,85140175.0,12.6,12.6,12.6,12.9,12.85,12.65
Michael Cortesão,2000708279.0,12.1,11.4,12.1,11.5,11.6,10.5
Matteo Grasso,2000573680.0,11.7,12.4,11.7,11.2,11.95,12.2
Tor Andreas Norheim,2000560760.0,9.15,10.25,9.15,9.45,9.2,11.45
Francesco Vrenna,2000439770.0,12.45,12.35,12.45,11.1,11.65,11.6
Luca Faraoni,2000439465.0,9.75,8.65,9.75,8.55,8.7,8.55
Francisco Borja Cruz,2000437496.0,10.5,10.8,10.5,12.5,11.55,11.75
Alfio Cattani,2000326553.0,8.85,8.15,8.85,6.75,7.35,7.05
Francesco Matta,2000325901.0,10.3,11.1,10.3,10.8,11.15,10.7
Domenico Barbato,2000325091.0,12.85,12.9,12.85,12.6,13.4,13.05
Alessandro Longoni,2000191664.0,11.6,11.4,11.6,10.2,10.85,11.1
Łukasz Poręba,96131652.0,12.75,12.15,12.75,11.8,12.25,11.8
Abdou Diallo,85120721.0,11.25,11.05,11.25,10.2,10.75,10.9
Filippo Sgarbi,43161673.0,11.05,10.65,11.05,10.45,10.8,10.7
Mauro Coppolaro,43159454.0,11.4,10.9,11.4,10.8,11.1,10.8
Tomas Suslov,37076659.0,12.4,12.6,12.4,13.2,13.35,13.15
Justin Hoogma,37059335.0,11.35,10.55,11.35,9.45,10.45,9.75
Jonas Larsen,2000325619.0,11.4,11.3,11.4,11.0,11.85,11.55
Antonino Fradella,43393070.0,11.05,10.35,11.05,10.3,10.65,10.05
Bartłomiej Maliszewski,96160054.0,7.45,6.65,7.45,6.4,6.8,5.9
Antonio Vaccaro,2000324883.0,8.85,8.1,8.85,6.85,7.5,7.0
Filippo Rinaldi,43425797.0,7.6,6.55,7.6,6.6,7.15,5.4
Abner Medrado,2000410747.0,12.8,13.2,12.8,13.0,13.3,13.5
Jesús Castillejo,2000569085.0,13.0,13.3,13.0,12.7,13.0,12.8
Nuno Garcia,2000567861.0,12.7,13.3,12.7,13.7,13.8,14.0
Gennaro Caiazzo,2000434797.0,13.4,13.6,13.4,13.0,13.8,14.0
Andrea Signori,2000569091.0,12.3,11.9,12.3,11.0,11.9,11.25
Dejan Petrovič,62176071.0,13.15,13.15,13.15,13.15,13.55,13.25
Janis Antiste,49048340.0,12.15,12.75,12.15,13.5,13.15,12.95
Andreaw Gravillon,43207127.0,11.85,11.25,11.85,10.75,11.25,10.65
Amir Murillo,80028885.0,8.9,8.9,8.9,9.05,9.05,6.5
