Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
2.0,11.333333333333334,7.0,14.5,15.5,14.0,14.125,12.0,14.5,16.5,15.75,12.25,12.8,11.833333333333334,15.25,12.0,14.5,16.333333333333332,13.5,13.25
9.0,9.5,12.0,11.25,14.5,11.166666666666666,12.5,12.5,11.25,13.25,11.0,13.125,10.7,8.333333333333334,14.0,11.166666666666666,11.75,13.333333333333334,11.25,8.5
9.0,14.666666666666666,9.0,10.0,15.0,10.0,11.25,13.0,10.0,12.0,9.0,12.75,11.6,8.833333333333334,13.5,14.0,9.5,12.0,14.5,10.0
13.0,7.166666666666667,8.0,10.25,7.5,8.166666666666666,9.0,10.5,10.25,6.75,9.0,14.0,7.5,10.5,9.75,9.833333333333334,6.75,9.0,12.75,11.0
13.0,12.166666666666666,13.0,9.0,13.5,12.5,9.5,12.0,9.0,12.25,10.0,12.625,12.3,8.0,13.875,12.166666666666666,11.75,10.833333333333334,15.5,9.5
7.5,13.5,9.5,7.5,13.0,11.333333333333334,10.625,14.25,7.5,11.0,8.5,11.25,12.9,7.166666666666667,12.75,12.833333333333334,10.25,12.166666666666666,11.75,7.75
13.0,11.0,7.0,7.25,10.5,12.166666666666666,10.0,10.25,7.25,12.0,6.75,10.5,11.9,6.0,12.375,10.166666666666666,11.0,11.166666666666666,9.75,7.25
12.0,10.5,12.0,12.0,7.75,11.0,7.625,10.5,12.0,7.5,13.0,13.25,10.0,12.0,11.125,11.833333333333334,10.75,9.0,12.0,13.5
12.0,16.333333333333332,7.0,10.0,14.5,14.5,12.625,15.75,10.0,15.0,11.5,9.75,15.7,9.5,10.875,15.166666666666666,13.75,15.166666666666666,10.75,11.5
3.0,9.666666666666666,5.0,4.5,12.5,8.0,10.75,9.0,4.5,11.5,5.75,8.75,8.8,3.0,12.5,9.0,8.5,11.333333333333334,7.5,6.0
11.0,11.5,10.0,8.5,15.0,14.666666666666666,11.625,14.5,8.5,11.75,11.5,12.25,13.2,7.166666666666667,11.5,13.833333333333334,13.0,12.5,14.25,7.25
12.0,12.666666666666666,4.0,10.5,15.5,14.0,13.625,15.0,10.5,14.5,9.75,12.25,13.8,8.833333333333334,10.25,13.666666666666666,12.0,15.333333333333334,9.0,8.75
8.0,9.666666666666666,9.0,8.75,14.5,11.166666666666666,10.75,10.75,8.75,13.5,9.25,13.25,10.3,6.166666666666667,6.125,10.833333333333334,13.5,12.166666666666666,5.75,8.75
8.0,13.333333333333334,7.0,10.25,14.5,12.833333333333334,14.375,12.25,10.25,13.5,11.75,12.0,13.3,8.333333333333334,13.125,12.166666666666666,14.0,15.0,9.75,11.75
7.0,12.5,7.0,9.0,12.0,13.333333333333334,11.375,12.0,9.0,12.75,12.5,11.0,12.6,8.333333333333334,12.875,12.833333333333334,13.25,12.333333333333334,11.5,7.75
5.0,11.333333333333334,8.0,12.5,11.5,11.666666666666666,11.25,14.0,12.5,10.0,12.5,13.75,11.2,13.0,13.75,13.666666666666666,11.0,12.333333333333334,11.5,12.5
11.0,13.333333333333334,11.0,8.0,11.25,14.5,10.875,13.0,8.0,11.75,9.0,12.75,13.9,6.666666666666667,13.125,13.333333333333334,10.0,12.5,12.0,6.75
12.0,4.666666666666667,4.0,5.75,11.0,7.333333333333333,10.0,7.0,5.75,11.25,5.0,10.125,6.6,4.666666666666667,13.75,5.666666666666667,7.75,10.0,14.25,4.5
5.0,12.166666666666666,7.0,10.5,14.75,8.0,12.25,13.75,10.5,9.5,9.25,10.625,10.6,9.0,11.25,11.666666666666666,11.5,14.333333333333334,11.5,9.75
13.0,9.5,13.0,12.25,6.75,9.666666666666666,8.625,12.0,12.25,7.25,14.0,8.875,9.4,12.166666666666666,11.75,11.5,9.5,9.5,13.5,12.75
14.0,8.166666666666666,15.0,9.5,11.75,12.666666666666666,9.625,10.5,9.5,13.5,10.5,10.75,10.2,8.666666666666666,14.375,10.833333333333334,13.75,10.333333333333334,14.0,7.75
19.0,12.5,9.0,10.25,7.5,7.666666666666667,6.375,11.75,10.25,5.5,10.75,12.625,9.8,9.833333333333334,10.0,11.666666666666666,7.5,7.833333333333333,11.25,11.75
7.0,10.166666666666666,6.0,6.0,13.0,13.666666666666666,9.125,12.0,6.0,10.75,6.0,8.0,11.8,5.5,11.75,12.166666666666666,8.5,10.5,8.0,5.25
12.5,12.333333333333334,7.5,11.5,15.75,12.166666666666666,13.75,12.25,11.5,14.75,10.75,10.875,12.3,10.5,11.25,12.166666666666666,11.0,14.833333333333334,13.5,10.5
15.0,10.5,8.0,12.25,13.5,12.333333333333334,9.625,12.0,12.25,9.25,12.0,10.875,11.6,12.5,12.5,11.5,7.5,10.166666666666666,13.75,12.75
11.0,12.833333333333334,10.0,14.0,12.25,10.0,12.75,12.25,14.0,9.5,12.75,13.0,11.4,12.333333333333334,11.75,12.0,12.5,12.666666666666666,13.25,11.25
15.0,12.166666666666666,13.0,12.75,11.25,11.0,12.0,12.75,12.75,9.5,12.25,14.5,11.6,13.5,13.5,12.333333333333334,9.5,12.666666666666666,15.25,13.75
15.0,10.833333333333334,12.0,12.0,7.25,12.666666666666666,9.25,10.5,12.0,7.5,14.0,12.0,11.4,12.0,12.75,11.5,9.75,10.5,13.5,12.0
14.0,11.0,12.0,13.0,10.0,11.666666666666666,10.5,12.5,13.0,10.0,13.5,13.5,11.0,13.0,12.5,12.666666666666666,12.0,11.0,14.5,12.5
10.0,11.5,9.0,12.0,13.0,13.666666666666666,12.625,11.5,12.0,15.75,12.5,7.75,12.4,11.666666666666666,11.875,12.166666666666666,14.75,13.333333333333334,11.0,8.75
15.0,14.166666666666666,11.0,15.75,10.25,10.333333333333334,12.125,14.25,15.75,9.0,15.75,9.0,12.2,14.833333333333334,11.125,13.666666666666666,11.5,13.666666666666666,12.0,14.75
13.0,10.166666666666666,6.0,12.0,11.75,11.333333333333334,12.625,11.5,12.0,14.0,14.0,11.5,10.8,11.333333333333334,13.625,11.166666666666666,15.25,13.666666666666666,10.0,14.0
13.0,10.333333333333334,13.0,14.0,10.75,11.0,10.75,12.5,14.0,9.75,13.75,14.0,10.4,13.666666666666666,12.875,12.333333333333334,9.0,11.833333333333334,13.5,13.5
16.0,7.833333333333333,1.5,7.5,4.0,8.666666666666666,3.875,10.5,7.5,2.25,7.0,11.75,8.0,6.0,11.375,10.166666666666666,3.75,4.5,9.0,2.25
15.0,11.5,2.0,12.0,4.5,8.166666666666666,6.625,13.25,12.0,2.75,9.25,10.875,9.7,8.833333333333334,13.0,12.333333333333334,4.75,8.0,14.0,5.5
18.0,9.5,1.5,8.5,3.25,10.5,4.5,11.5,8.5,3.5,8.5,8.0,9.3,6.666666666666667,10.125,12.166666666666666,3.25,5.333333333333333,8.0,3.25
14.0,12.0,10.0,11.25,13.5,13.166666666666666,16.0,12.75,11.25,13.5,11.75,11.5,12.7,9.666666666666666,14.625,12.5,13.5,16.166666666666668,14.25,11.25
12.0,13.333333333333334,16.0,11.75,13.0,11.333333333333334,12.25,15.0,11.75,12.0,11.0,11.75,12.6,9.166666666666666,13.75,13.666666666666666,15.0,12.333333333333334,10.5,10.0
10.0,12.333333333333334,11.0,9.5,13.0,14.333333333333334,13.25,12.0,9.5,14.5,10.5,11.75,13.2,8.333333333333334,15.5,12.666666666666666,13.0,13.666666666666666,13.5,9.5
12.0,14.333333333333334,11.0,11.5,15.5,12.666666666666666,12.5,13.0,11.5,14.5,10.5,13.75,13.4,10.666666666666666,14.0,13.333333333333334,11.0,14.0,15.5,10.5
11.0,14.166666666666666,13.0,12.0,10.0,13.166666666666666,10.0,15.0,12.0,9.75,11.5,13.875,13.3,12.0,13.0,15.166666666666666,9.75,9.833333333333334,12.0,11.5
14.0,13.5,10.5,13.5,13.75,13.666666666666666,12.5,12.25,13.5,13.5,13.0,10.125,13.2,13.666666666666666,11.875,13.333333333333334,13.25,13.5,11.5,12.5
14.0,12.333333333333334,16.0,11.75,14.5,13.5,14.125,12.75,11.75,14.5,11.25,11.5,12.7,9.0,13.375,13.166666666666666,13.5,14.333333333333334,11.25,11.75
14.0,12.333333333333334,14.0,12.75,11.5,11.833333333333334,9.875,13.75,12.75,9.5,12.5,11.875,11.7,13.5,15.0,13.833333333333334,9.25,11.5,14.25,12.25
16.0,7.166666666666667,11.0,6.25,11.5,8.5,6.5,12.0,6.25,6.5,0.0,8.25,7.1,9.166666666666666,5.0,11.833333333333334,0.0,8.666666666666666,3.5,5.5
