Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Pavlos Rassias,2000237428.0,9.33,14.12,14.0,14.33,13.33,15.67,4.5,12.42
Christian,2000632607.0,5.33,13.0,14.0,11.33,11.33,14.17,10.5,11.5
Pier Giorgio Taddei,2000571737.0,8.17,14.0,13.0,8.33,8.67,12.67,9.0,12.5
Luca Volpi,2000569300.0,11.83,13.0,9.0,6.0,7.0,6.83,10.5,10.5
Simone Barcellona,2000508897.0,7.0,14.88,12.5,11.83,10.83,13.5,13.0,11.75
Giancarlo Spozio,2000508197.0,6.0,12.62,11.75,14.0,10.0,12.33,8.5,11.17
Riccardo Leonardi,2000442509.0,4.17,10.88,11.5,13.17,8.83,10.67,10.0,9.58
Fabio Romani,2000439764.0,14.33,12.5,10.0,8.0,9.17,7.67,12.0,13.58
Simone Scotta,2000437494.0,7.5,12.38,10.0,16.0,11.67,14.33,9.5,12.5
Giovanni Piva,2000325053.0,1.0,8.75,13.0,9.33,7.0,11.33,4.0,7.75
Martin De Gasperi,2000325005.0,4.33,12.5,10.0,11.83,13.33,12.83,10.5,12.17
Eligio Genchi,2000323481.0,6.0,10.62,9.0,14.67,10.67,14.33,8.0,11.58
Ludovico Serretti,2000199979.0,2.67,7.12,7.5,9.5,14.83,14.33,8.5,10.58
Pablo Torre,2000040347.0,6.17,11.12,12.0,15.0,12.0,13.67,7.5,11.75
Yoane Wissa,85140175.0,5.5,12.25,13.0,12.17,12.83,12.17,7.0,12.58
Michael Cortesão,2000708279.0,13.33,12.0,15.0,9.0,10.0,10.0,6.5,12.83
Matteo Grasso,2000573680.0,4.5,12.62,11.75,13.83,9.0,10.17,11.0,12.75
Tor Andreas Norheim,2000560760.0,3.0,14.5,12.5,8.67,6.67,10.5,8.0,5.92
Francesco Vrenna,2000439770.0,7.17,10.75,11.0,12.0,10.17,12.0,6.0,10.83
Luca Faraoni,2000439465.0,13.0,11.88,11.0,7.17,8.17,6.67,13.0,11.75
Francisco Borja Cruz,2000437496.0,5.83,14.0,13.0,8.33,14.5,12.67,14.5,11.75
Alfio Cattani,2000326553.0,11.33,10.38,9.75,6.5,6.0,5.83,14.0,12.75
Francesco Matta,2000325901.0,4.0,9.62,11.0,11.17,7.83,11.5,6.5,9.0
Domenico Barbato,2000325091.0,8.83,12.75,10.0,12.67,10.0,14.17,10.0,11.5
Alessandro Longoni,2000191664.0,14.67,13.25,12.0,10.83,6.5,11.17,11.5,11.25
Łukasz Poręba,96131652.0,10.83,12.25,12.0,11.33,11.83,10.67,10.5,12.33
Abdou Diallo,85120721.0,13.67,13.12,13.5,11.33,8.5,10.0,14.0,13.58
Filippo Sgarbi,43161673.0,12.0,14.0,11.75,11.83,8.83,7.67,13.5,12.58
Mauro Coppolaro,43159454.0,12.67,13.75,12.0,9.0,9.67,10.0,13.0,13.17
Tomas Suslov,37076659.0,8.83,12.25,11.5,12.83,13.17,14.5,9.5,11.25
Justin Hoogma,37059335.0,13.0,10.75,12.0,11.33,9.0,9.67,13.0,13.0
Jonas Larsen,2000325619.0,9.33,12.75,13.5,10.33,10.83,12.67,9.5,11.92
Antonino Fradella,43393070.0,13.33,13.12,13.25,8.33,7.67,9.83,13.0,13.25
Bartłomiej Maliszewski,96160054.0,5.5,10.0,10.0,6.0,3.33,3.5,8.75,11.75
Antonio Vaccaro,2000324883.0,6.83,13.75,11.5,7.5,4.0,3.33,8.5,11.5
Filippo Rinaldi,43425797.0,6.17,9.0,10.0,5.83,2.83,3.0,9.75,11.75
Abner Medrado,2000410747.0,7.17,13.62,14.0,14.83,12.5,13.0,12.0,11.92
Jesús Castillejo,2000569085.0,5.83,12.5,14.0,11.0,13.0,13.0,14.0,11.5
Nuno Garcia,2000567861.0,6.67,14.75,14.5,14.67,12.67,14.0,10.5,12.17
Gennaro Caiazzo,2000434797.0,9.67,14.75,12.5,13.33,10.0,14.33,11.5,13.5
Andrea Signori,2000569091.0,13.0,13.12,11.25,9.83,7.5,9.5,12.0,14.75
Dejan Petrovič,62176071.0,13.33,12.12,11.0,13.33,11.83,13.67,12.25,11.5
Janis Antiste,49048340.0,6.83,11.88,14.0,13.0,13.67,15.0,15.0,11.58
Andreaw Gravillon,43207127.0,14.0,14.88,14.75,9.33,7.67,10.0,14.0,13.08
Amir Murillo,80028885.0,12.83,5.25,10.0,4.33,0.0,7.67,13.5,7.08
