Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
14.0,12.666666666666666,8.0,13.5,14.5,14.0,13.75,12.5,13.5,13.0,13.0,12.25,13.2,12.0,14.0,13.0,14.0,15.333333333333334,14.5,12.5
17.0,12.666666666666666,10.0,9.0,15.0,10.333333333333334,12.75,11.5,9.0,16.0,11.0,12.5,11.2,9.666666666666666,16.0,12.0,11.5,13.666666666666666,13.5,10.0
17.0,14.0,17.0,15.5,11.0,13.0,11.25,14.5,15.5,10.5,16.0,13.5,12.8,15.666666666666666,13.25,15.333333333333334,10.5,12.666666666666666,14.5,15.0
8.0,5.166666666666667,5.0,7.75,15.5,9.5,13.75,7.0,7.75,13.25,8.0,8.375,7.7,6.0,14.0,6.5,10.25,14.0,11.75,6.25
12.0,8.166666666666666,10.0,13.0,14.5,12.5,14.75,10.5,13.0,15.75,13.0,12.375,10.3,12.0,13.75,10.5,12.75,15.0,12.75,12.5
13.5,13.166666666666666,2.5,8.5,9.75,9.333333333333334,7.75,11.75,8.5,8.0,10.0,7.75,11.3,6.833333333333333,12.5,11.5,5.0,9.5,7.5,5.5
16.0,10.0,12.0,8.0,13.5,14.166666666666666,10.25,12.5,8.0,15.5,10.5,10.375,12.3,7.333333333333333,13.0,12.0,10.5,10.666666666666666,11.0,7.75
13.0,2.3333333333333335,0.0,7.5,3.5,6.0,4.625,5.5,7.5,1.75,6.5,6.375,3.6,5.0,11.0,6.0,3.5,6.166666666666667,9.0,3.5
15.0,14.833333333333334,9.0,12.5,10.75,14.666666666666666,10.625,15.5,12.5,12.5,12.0,11.75,14.2,12.333333333333334,14.875,16.166666666666668,12.75,12.0,13.0,12.25
9.0,12.666666666666666,9.0,10.25,15.5,13.166666666666666,13.25,10.75,10.25,13.5,10.75,11.25,12.7,7.666666666666667,13.125,11.833333333333334,13.0,14.833333333333334,12.25,8.75
13.0,14.0,11.0,13.0,11.5,12.0,11.0,16.0,13.0,11.5,12.5,9.25,13.0,13.0,14.0,15.0,9.0,11.666666666666666,13.5,11.0
