Player,UID,FB,WB,IWB,CWB,NNFB
José Andrés Velasco,2000573384.0,11.0,10.45,11.45,11.0,10.05
Gabriele Ferrara,2000569470.0,10.25,9.45,9.85,9.77,10.75
Rino Mercurio,2000569288.0,13.05,11.25,12.25,11.46,12.35
Eduardo Montebugnoli,2000511208.0,9.1,9.05,9.45,10.58,8.4
Marco Lombardi,2000509497.0,10.85,10.15,10.5,10.73,9.5
Stefan Janek,2000508020.0,9.2,9.6,7.8,9.92,7.45
Fabiano Cardaci,2000438270.0,7.6,8.95,8.05,10.35,7.1
Rémy Bühler,2000434866.0,8.8,10.6,9.4,11.54,8.85
Mauro Andreini,2000323661.0,9.2,9.8,9.0,10.77,7.85
Silvio Díaz,2000051566.0,11.1,10.95,10.8,11.35,10.75
Elia Marra,2000199606.0,9.8,8.85,10.7,10.15,9.35
Thomas Pappalardo,2000189557.0,10.1,9.4,10.9,10.46,9.45
Dario Gabbianelli,2000569293.0,8.2,7.85,7.45,8.42,8.15
Tommaso Bortolin,2000438266.0,12.0,10.05,11.25,9.42,12.15
Panagiotis Koupkiolis,2000232960.0,9.6,9.5,9.2,10.31,9.9
Giona Cafaro,2000199607.0,12.95,10.7,11.9,10.65,12.1
Maximilian Brüll,91206098.0,7.7,5.4,6.65,5.58,7.75
Lucas Olaza,78048502.0,11.75,11.5,13.0,12.27,11.7
Lucien Agoume,49048461.0,12.15,11.65,12.2,11.81,11.85
Colin Dagba,49034905.0,12.85,13.0,12.25,12.96,11.6
Alberto Dossena,43202417.0,12.85,10.6,11.6,10.27,13.2
Orlando Musso,2000569289.0,9.8,10.05,9.3,10.81,8.5
Jacopo Lombardini,2000626005.0,13.6,12.2,12.1,11.92,12.7
Nicola Pardini,2000569296.0,12.1,10.55,10.95,9.62,12.15
Paolo Gozzi,43372951.0,13.35,11.55,12.85,11.27,13.6
Romano Petrelli,2000191146.0,11.4,11.1,12.2,12.15,12.05
Miloš Divac,2000482939.0,10.95,11.05,12.0,11.73,10.3
Pablo Sierra,2000406688.0,11.2,11.15,10.8,11.5,11.15
Stefan Weiss,2000290992.0,10.75,10.55,10.95,11.04,9.55
Emerson Hyndman,28084759.0,12.65,12.25,13.0,12.92,11.2
M'Bala Nzola,83103196.0,11.25,10.65,10.35,11.04,11.3
Héctor Bellerín,28066082.0,13.65,13.1,13.55,13.23,13.6
Bozhidar Kraev,22041890.0,9.5,9.6,9.9,10.38,10.05
Enrique Lago,2000491309.0,12.35,11.8,11.2,11.81,10.2
Jakub Jankto,43207792.0,12.35,12.7,12.65,12.85,12.05
Bruno Capela,2000626481.0,8.9,6.9,9.0,7.23,9.6
Davide Merelli,43108412.0,9.8,7.2,10.05,8.08,9.8
Simone Massi,2000569290.0,12.35,10.5,11.65,10.46,12.75
Fabrizio Di Benedetti,2000324218.0,14.05,11.95,13.45,11.88,13.0
Marco Fedele,2000626680.0,12.9,12.0,13.0,12.23,12.9
Mario Pavan,2000436518.0,13.4,12.3,12.25,11.5,13.8
