Match,Player,UID
#GK,Maximilian Brüll,91206098
#GK,Bruno Capela,2000626481
#GK,Davide Merelli,43108412
#DR,Stefan Janek,2000508020
#DR,Tommaso Bortolin,2000438266
#DR,Colin Dagba,49034905
#DR,Nicola Pardini,2000569296
#DR,Héctor Bellerín,28066082
#DR,Simone Massi,2000569290
#DR,Fabrizio Di Benedetti,2000324218
#DR,Mario Pavan,2000436518
#DC,Rino Mercurio,2000569288
#DC,Tommaso Bortolin,2000438266
#DC,Giona Cafaro,2000199607
#DC,Alberto Dossena,43202417
#DC,Jacopo Lombardini,2000626005
#DC,Nicola Pardini,2000569296
#DC,Paolo Gozzi,43372951
#DC,Simone Massi,2000569290
#DC,Fabrizio Di Benedetti,2000324218
#DC,Mario Pavan,2000436518
#DL,Rino Mercurio,2000569288
#DL,Dario Gabbianelli,2000569293
#DL,Tommaso Bortolin,2000438266
#DL,Giona Cafaro,2000199607
#DL,Lucas Olaza,78048502
#DL,Colin Dagba,49034905
#DL,Jacopo Lombardini,2000626005
#DL,Fabrizio Di Benedetti,2000324218
#DL,Mario Pavan,2000436518
#WBR,Colin Dagba,49034905
#WBR,Héctor Bellerín,28066082
#WBR,Enrique Lago,2000491309
#WBR,Simone Massi,2000569290
#DM,Rino Mercurio,2000569288
#DM,Lucien Agoume,49048461
#DM,Emerson Hyndman,28084759
#DM,Simone Massi,2000569290
#WBL,Dario Gabbianelli,2000569293
#WBL,Giona Cafaro,2000199607
#WBL,Lucas Olaza,78048502
#MR,Eduardo Montebugnoli,2000511208
#MR,Marco Lombardi,2000509497
#MR,Stefan Janek,2000508020
#MR,Rémy Bühler,2000434866
#MR,Elia Marra,2000199606
#MR,Thomas Pappalardo,2000189557
#MR,Romano Petrelli,2000191146
#MR,Stefan Weiss,2000290992
#MR,Enrique Lago,2000491309
#MR,Jakub Jankto,43207792
#MC,José Andrés Velasco,2000573384
#MC,Gabriele Ferrara,2000569470
#MC,Eduardo Montebugnoli,2000511208
#MC,Fabiano Cardaci,2000438270
#MC,Rémy Bühler,2000434866
#MC,Mauro Andreini,2000323661
#MC,Elia Marra,2000199606
#MC,Thomas Pappalardo,2000189557
#MC,Lucien Agoume,49048461
#MC,Romano Petrelli,2000191146
#MC,Miloš Divac,2000482939
#MC,Emerson Hyndman,28084759
#MC,Bozhidar Kraev,22041890
#MC,Jakub Jankto,43207792
#MC,Marco Fedele,2000626680
#ML,Fabiano Cardaci,2000438270
#ML,Jakub Jankto,43207792
#ML,Marco Fedele,2000626680
#AMR,Gabriele Ferrara,2000569470
#AMR,Marco Lombardi,2000509497
#AMR,Stefan Janek,2000508020
#AMR,Rémy Bühler,2000434866
#AMR,Mauro Andreini,2000323661
#AMR,Silvio Díaz,2000051566
#AMR,Orlando Musso,2000569289
#AMR,Romano Petrelli,2000191146
#AMR,Miloš Divac,2000482939
#AMR,Stefan Weiss,2000290992
#AMR,M'Bala Nzola,83103196
#AMR,Bozhidar Kraev,22041890
#AMR,Enrique Lago,2000491309
#AMR,Jakub Jankto,43207792
#AMC,José Andrés Velasco,2000573384
#AMC,Eduardo Montebugnoli,2000511208
#AMC,Marco Lombardi,2000509497
#AMC,Mauro Andreini,2000323661
#AMC,Elia Marra,2000199606
#AMC,Thomas Pappalardo,2000189557
#AMC,Lucien Agoume,49048461
#AMC,Miloš Divac,2000482939
#AMC,Stefan Weiss,2000290992
#AMC,Emerson Hyndman,28084759
#AMC,Bozhidar Kraev,22041890
#AML,Marco Lombardi,2000509497
#AML,Fabiano Cardaci,2000438270
#AML,Mauro Andreini,2000323661
#AML,Silvio Díaz,2000051566
#AML,M'Bala Nzola,83103196
#AML,Bozhidar Kraev,22041890
#AML,Jakub Jankto,43207792
#STC,Marco Lombardi,2000509497
#STC,Fabiano Cardaci,2000438270
#STC,Silvio Díaz,2000051566
#STC,Panagiotis Koupkiolis,2000232960
#STC,Orlando Musso,2000569289
#STC,Pablo Sierra,2000406688
#STC,Stefan Weiss,2000290992
#STC,M'Bala Nzola,83103196
#STC,Bozhidar Kraev,22041890
