Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
José Andrés Velasco,2000573384.0,3.0,11.38,9.0,11.83,2.25,3.0,1.5,2.5
Gabriele Ferrara,2000569470.0,2.75,13.5,11.75,9.75,2.0,1.5,2.75,2.25
Rino Mercurio,2000569288.0,2.75,13.75,13.25,11.75,2.75,2.0,4.0,2.5
Eduardo Montebugnoli,2000511208.0,2.5,11.75,13.0,9.67,3.0,1.5,2.75,1.75
Marco Lombardi,2000509497.0,2.25,13.25,11.5,11.25,1.75,2.5,2.5,3.25
Stefan Janek,2000508020.0,2.25,10.88,13.75,9.25,1.75,3.0,3.25,3.5
Fabiano Cardaci,2000438270.0,2.0,12.12,13.0,8.75,2.75,2.5,2.75,2.5
Rémy Bühler,2000434866.0,4.0,12.75,13.0,8.5,3.5,4.5,2.25,1.25
Mauro Andreini,2000323661.0,3.5,13.25,13.5,8.67,2.5,3.5,2.75,2.0
Silvio Díaz,2000051566.0,3.0,12.12,13.0,12.83,2.5,1.5,2.75,2.25
Elia Marra,2000199606.0,3.5,11.25,10.5,11.5,3.0,2.0,3.25,2.25
Thomas Pappalardo,2000189557.0,2.25,12.75,11.0,9.5,2.0,5.5,2.75,2.25
Dario Gabbianelli,2000569293.0,0.0,12.38,10.0,7.25,0.0,0.0,0.0,0.0
Tommaso Bortolin,2000438266.0,2.5,12.75,11.0,15.0,2.5,3.0,2.0,2.75
Panagiotis Koupkiolis,2000232960.0,1.5,12.0,12.5,12.33,2.0,2.0,2.0,2.5
Giona Cafaro,2000199607.0,3.0,13.0,11.75,14.25,1.75,4.0,1.5,3.75
Maximilian Brüll,91206098.0,12.5,8.38,11.25,10.58,11.75,5.0,15.5,11.0
Lucas Olaza,78048502.0,2.5,8.12,7.75,12.75,3.25,2.5,1.5,2.25
Lucien Agoume,49048461.0,2.25,14.75,12.75,11.92,2.5,3.5,2.5,2.0
Colin Dagba,49034905.0,2.25,12.38,14.5,11.58,3.0,2.5,3.0,2.25
Alberto Dossena,43202417.0,2.25,14.38,12.25,13.25,2.75,2.5,1.5,1.75
Orlando Musso,2000569289.0,3.0,12.75,14.5,9.67,2.5,3.5,1.75,3.75
Jacopo Lombardini,2000626005.0,1.5,14.25,14.0,12.33,1.0,1.0,2.5,1.5
Nicola Pardini,2000569296.0,3.75,12.38,9.5,10.67,2.75,3.0,2.0,3.5
Paolo Gozzi,43372951.0,2.0,13.25,13.0,13.42,2.25,2.0,2.75,2.5
Romano Petrelli,2000191146.0,2.25,14.75,12.5,13.0,2.75,3.5,2.5,1.5
Miloš Divac,2000482939.0,3.25,11.0,10.5,12.58,2.75,2.0,3.25,2.75
Pablo Sierra,2000406688.0,1.75,16.38,14.5,12.33,1.75,4.0,2.0,1.25
Stefan Weiss,2000290992.0,2.0,10.38,11.5,12.0,3.25,2.5,2.75,2.75
Emerson Hyndman,28084759.0,1.75,12.25,13.25,12.25,2.0,5.0,1.75,2.25
M'Bala Nzola,83103196.0,2.25,14.25,14.5,13.42,1.75,3.0,2.5,2.5
Héctor Bellerín,28066082.0,2.0,11.75,11.0,14.83,2.5,3.0,2.0,2.25
Bozhidar Kraev,22041890.0,4.0,12.5,12.0,11.67,2.0,3.5,2.0,1.75
Enrique Lago,2000491309.0,2.25,12.62,15.0,12.25,2.75,2.0,3.25,2.75
Jakub Jankto,43207792.0,3.0,12.25,12.5,13.08,2.25,3.0,2.0,3.0
Bruno Capela,2000626481.0,14.0,12.75,11.5,10.67,14.0,2.0,14.0,13.0
Davide Merelli,43108412.0,12.5,11.88,9.0,12.58,11.5,8.0,12.5,12.0
Simone Massi,2000569290.0,2.25,13.5,11.0,13.58,2.75,1.0,5.0,3.75
Fabrizio Di Benedetti,2000324218.0,3.0,13.75,13.0,14.42,2.75,2.5,2.5,2.5
Marco Fedele,2000626680.0,1.5,14.5,12.5,12.67,2.0,2.0,1.0,2.5
Mario Pavan,2000436518.0,3.5,14.12,14.5,13.08,2.0,2.5,2.75,1.5
