Player,UID,WM,W,DW,IW,IF,WG
José Andrés Velasco,2000573384.0,12.35,12.15,11.0,13.75,13.35,11.25
Gabriele Ferrara,2000569470.0,9.6,10.75,9.7,9.65,9.35,10.58
Rino Mercurio,2000569288.0,10.9,11.05,12.3,10.15,9.95,10.83
Eduardo Montebugnoli,2000511208.0,10.2,10.65,8.7,11.1,10.95,9.88
Marco Lombardi,2000509497.0,11.25,11.95,10.15,11.7,11.2,11.04
Stefan Janek,2000508020.0,10.95,12.2,8.35,10.0,9.6,11.67
Fabiano Cardaci,2000438270.0,10.25,11.15,7.5,11.3,11.25,10.92
Rémy Bühler,2000434866.0,11.3,12.6,8.4,12.75,12.3,12.0
Mauro Andreini,2000323661.0,10.8,12.7,8.5,11.55,11.25,11.67
Silvio Díaz,2000051566.0,11.45,12.05,10.3,12.5,12.9,11.38
Elia Marra,2000199606.0,10.55,10.45,9.7,12.15,11.5,10.29
Thomas Pappalardo,2000189557.0,11.0,10.95,9.5,12.95,12.6,11.08
Dario Gabbianelli,2000569293.0,7.7,9.3,7.5,7.35,7.2,8.62
Tommaso Bortolin,2000438266.0,10.0,10.2,11.3,10.15,9.6,9.75
Panagiotis Koupkiolis,2000232960.0,10.6,11.4,8.8,12.1,13.1,11.67
Giona Cafaro,2000199607.0,11.15,10.65,12.35,10.7,10.35,10.88
Maximilian Brüll,91206098.0,5.5,6.2,6.55,6.45,5.75,6.54
Lucas Olaza,78048502.0,13.05,11.2,13.45,12.65,12.9,11.08
Lucien Agoume,49048461.0,11.65,12.3,11.65,12.3,11.9,12.38
Colin Dagba,49034905.0,12.65,13.05,12.55,12.05,11.8,12.04
Alberto Dossena,43202417.0,9.65,10.3,11.65,10.15,9.9,10.83
Orlando Musso,2000569289.0,10.0,11.85,8.3,12.0,12.4,11.88
Jacopo Lombardini,2000626005.0,11.2,11.4,12.6,10.7,10.6,11.75
Nicola Pardini,2000569296.0,9.65,9.25,11.1,9.45,9.25,10.17
Paolo Gozzi,43372951.0,10.65,10.6,12.6,10.9,10.3,11.0
Romano Petrelli,2000191146.0,12.5,12.95,11.4,13.65,12.5,12.67
Miloš Divac,2000482939.0,12.85,11.95,11.45,14.0,13.1,11.46
Pablo Sierra,2000406688.0,12.05,13.35,10.4,12.7,12.65,14.04
Stefan Weiss,2000290992.0,11.7,12.5,10.35,13.05,12.35,12.5
Emerson Hyndman,28084759.0,12.95,13.25,12.5,13.7,13.1,11.79
M'Bala Nzola,83103196.0,11.5,12.75,10.4,12.2,12.5,12.62
Héctor Bellerín,28066082.0,13.8,13.25,14.05,13.65,13.7,12.62
Bozhidar Kraev,22041890.0,10.6,11.7,9.4,12.05,12.25,11.83
Enrique Lago,2000491309.0,11.8,12.3,11.85,11.9,11.5,11.58
Jakub Jankto,43207792.0,12.8,13.1,12.6,13.15,13.0,12.58
Bruno Capela,2000626481.0,6.4,6.8,7.5,8.7,7.5,6.83
Davide Merelli,43108412.0,8.25,7.6,9.5,10.15,9.45,8.17
Simone Massi,2000569290.0,11.65,10.75,12.35,10.65,10.15,10.96
Fabrizio Di Benedetti,2000324218.0,12.05,11.5,13.6,11.6,11.3,11.17
Marco Fedele,2000626680.0,12.6,12.6,12.9,13.1,13.0,12.83
Mario Pavan,2000436518.0,10.75,11.2,12.4,11.0,10.95,11.5
