Player,UID,AMC,AP,T,SS,AM,EG
Adam Karabec,25062522.0,13.4,14.0,13.4,13.75,14.0,14.5
Bryan Rugani,2000567826.0,12.85,13.55,12.85,13.0,13.5,13.85
Lorenzo Micucci,2000567825.0,10.0,10.6,10.0,9.55,9.65,11.2
Mattia Napoli,2000507848.0,9.0,8.6,9.0,8.35,8.3,8.45
Paolo Di Napoli,2000507831.0,11.45,10.85,11.45,10.45,11.15,10.75
Marco Saporito,2000507393.0,13.05,13.25,13.05,12.4,13.05,13.35
Enrico Taurino,2000435791.0,11.7,12.3,11.7,11.5,12.3,12.0
Gregorio Poggi,2000434780.0,12.7,13.3,12.7,12.85,13.15,13.45
Adolfo Torrisi,2000326083.0,14.0,14.4,14.0,14.25,14.65,15.0
Filippo Ricciardi,2000324317.0,13.2,14.0,13.2,13.4,13.85,14.65
Georgi Atanasov,22083648.0,11.55,11.85,11.55,12.1,12.25,12.45
Sávio,2000011972.0,13.0,13.5,13.0,13.0,13.7,14.0
Simone Felugo,2000193649.0,12.7,12.7,12.7,12.2,12.7,12.75
Gianmario Minelli,2000192822.0,13.35,13.6,13.35,12.85,13.5,12.95
Godwin Ackah,2000192606.0,11.7,12.3,11.7,11.5,12.1,12.55
Nicolò Brighi,2000192605.0,10.7,10.1,10.7,9.2,9.4,8.9
Raimondo Gadau,2000192601.0,10.35,10.75,10.35,9.55,9.95,10.95
Vasilis Zagaritis,36151881.0,13.45,13.05,13.45,13.05,13.45,12.75
Dinko Mandura,2000186481.0,13.7,14.3,13.7,13.7,14.3,14.8
Borys Bococi,2000461608.0,12.2,12.8,12.2,14.0,13.4,13.5
Francesco Petrini,2000435442.0,13.4,13.7,13.4,13.5,12.9,12.8
Lorenzo Campadelli,2000435439.0,13.0,12.85,13.0,11.95,12.7,12.25
Alex Zanut,2000194920.0,10.8,11.0,10.8,10.5,11.1,11.5
Vincenzo Puccinelli,2000192602.0,10.9,11.2,10.9,11.05,11.25,11.9
Imran Louza,48038017.0,13.75,13.85,13.75,13.0,13.35,13.3
Nicolò Armini,43373238.0,12.25,11.95,12.25,11.8,12.15,11.85
Emerson,19158043.0,12.9,13.0,12.9,12.1,12.7,13.0
Nicolás Tagliafico,14008030.0,13.65,13.35,13.65,12.55,13.15,12.85
Andrea Chiappetta,2000567823.0,10.35,10.95,10.35,10.95,11.05,11.55
Manuel Santos,2000439547.0,13.9,14.4,13.9,13.4,13.9,14.1
Gianmarco Solagna,2000323862.0,13.8,14.4,13.8,13.4,13.4,13.7
Rodrigo Gomes,83333463.0,13.5,13.8,13.5,14.2,14.5,14.3
Marcos Paulo,19354619.0,13.2,13.4,13.2,13.65,13.7,13.4
Emiliano Buono,2000567820.0,3.35,3.05,3.35,3.45,3.45,3.05
Marcello Carrieri,2000437682.0,7.5,6.4,7.5,6.85,6.8,6.4
Tim Rönning,93065015.0,10.95,9.55,10.95,8.25,9.1,7.85
Andrea Bianchini,43266746.0,7.8,7.4,7.8,6.75,7.1,7.15
Nahitan Nández,78067241.0,13.8,13.5,13.8,13.0,13.3,13.3
Hamed Junior Traoré,43317933.0,14.75,14.95,14.75,14.7,15.2,15.25
Paulo Dybala,14044150.0,14.4,15.1,14.4,14.8,14.8,15.1
Damiano Manzella,2000438268.0,12.65,11.95,12.65,12.15,12.5,11.95
Alessandro Alborghetti,2000566976.0,11.55,11.7,11.55,10.6,11.05,10.9
Umberto Lettieri,2000567821.0,12.3,11.7,12.3,11.5,11.9,12.1
Pol Lirola,67211095.0,12.35,12.25,12.35,11.9,12.35,12.45
Lisandro Martínez,14167329.0,13.4,13.3,13.4,13.0,13.5,13.2
Matteo Gabbia,43266774.0,13.1,12.4,13.1,12.1,12.7,11.9
