Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Adam Karabec,25062522.0,14.0,14.0,14.0,14.0,13.65,13.65,13.75,13.75,13.54,13.54
Bryan Rugani,2000567826.0,13.5,13.5,13.5,13.5,12.95,12.95,13.0,13.0,12.54,12.54
Lorenzo Micucci,2000567825.0,9.65,9.65,9.65,9.65,12.3,12.3,9.55,9.55,12.08,12.08
Mattia Napoli,2000507848.0,8.3,8.3,8.3,8.3,9.45,9.45,8.35,8.35,9.88,9.88
Paolo Di Napoli,2000507831.0,11.15,11.15,11.15,11.15,10.7,10.7,10.45,10.45,10.83,10.83
Marco Saporito,2000507393.0,13.05,13.05,13.05,13.05,12.0,12.0,12.4,12.4,12.17,12.17
Enrico Taurino,2000435791.0,12.3,12.3,12.3,12.3,11.35,11.35,11.5,11.5,11.04,11.04
Gregorio Poggi,2000434780.0,13.15,13.15,13.15,13.15,13.1,13.1,12.85,12.85,12.29,12.29
Adolfo Torrisi,2000326083.0,14.65,14.65,14.65,14.65,13.9,13.9,14.25,14.25,12.83,12.83
Filippo Ricciardi,2000324317.0,13.85,13.85,13.85,13.85,13.7,13.7,13.4,13.4,12.83,12.83
Georgi Atanasov,22083648.0,12.25,12.25,12.25,12.25,12.4,12.4,12.1,12.1,12.33,12.33
Sávio,2000011972.0,13.7,13.7,13.7,13.7,13.8,13.8,13.0,13.0,12.33,12.33
Simone Felugo,2000193649.0,12.7,12.7,12.7,12.7,12.25,12.25,12.2,12.2,11.88,11.88
Gianmario Minelli,2000192822.0,13.5,13.5,13.5,13.5,11.9,11.9,12.85,12.85,11.33,11.33
Godwin Ackah,2000192606.0,12.1,12.1,12.1,12.1,11.65,11.65,11.5,11.5,10.71,10.71
Nicolò Brighi,2000192605.0,9.4,9.4,9.4,9.4,10.4,10.4,9.2,9.2,10.75,10.75
Raimondo Gadau,2000192601.0,9.95,9.95,9.95,9.95,12.75,12.75,9.55,9.55,12.21,12.21
Vasilis Zagaritis,36151881.0,13.45,13.45,13.45,13.45,13.5,13.5,13.05,13.05,12.83,12.83
Dinko Mandura,2000186481.0,14.3,14.3,14.3,14.3,13.8,13.8,13.7,13.7,13.25,13.25
Borys Bococi,2000461608.0,13.4,13.4,13.4,13.4,12.9,12.9,14.0,14.0,12.5,12.5
Francesco Petrini,2000435442.0,12.9,12.9,12.9,12.9,12.9,12.9,13.5,13.5,12.33,12.33
Lorenzo Campadelli,2000435439.0,12.7,12.7,12.7,12.7,11.75,11.75,11.95,11.95,12.21,12.21
Alex Zanut,2000194920.0,11.1,11.1,11.1,11.1,12.35,12.35,10.5,10.5,11.79,11.79
Vincenzo Puccinelli,2000192602.0,11.25,11.25,11.25,11.25,12.6,12.6,11.05,11.05,12.33,12.33
Imran Louza,48038017.0,13.35,13.35,13.35,13.35,12.85,12.85,13.0,13.0,11.79,11.79
Nicolò Armini,43373238.0,12.15,12.15,12.15,12.15,11.7,11.7,11.8,11.8,11.92,11.92
Emerson,19158043.0,12.7,12.7,12.7,12.7,12.5,12.5,12.1,12.1,11.83,11.83
Nicolás Tagliafico,14008030.0,13.15,13.15,13.15,13.15,12.15,12.15,12.55,12.55,12.46,12.46
Andrea Chiappetta,2000567823.0,11.05,11.05,11.05,11.05,12.15,12.15,10.95,10.95,11.21,11.21
Manuel Santos,2000439547.0,13.9,13.9,13.9,13.9,14.2,14.2,13.4,13.4,13.17,13.17
Gianmarco Solagna,2000323862.0,13.4,13.4,13.4,13.4,12.3,12.3,13.4,13.4,12.33,12.33
Rodrigo Gomes,83333463.0,14.5,14.5,14.5,14.5,14.1,14.1,14.2,14.2,13.17,13.17
Marcos Paulo,19354619.0,13.7,13.7,13.7,13.7,12.85,12.85,13.65,13.65,12.79,12.79
Emiliano Buono,2000567820.0,3.45,3.45,3.45,3.45,4.5,4.5,3.45,3.45,4.62,4.62
Marcello Carrieri,2000437682.0,6.8,6.8,6.8,6.8,6.9,6.9,6.85,6.85,7.04,7.04
Tim Rönning,93065015.0,9.1,9.1,9.1,9.1,8.35,8.35,8.25,8.25,8.62,8.62
Andrea Bianchini,43266746.0,7.1,7.1,7.1,7.1,8.0,8.0,6.75,6.75,8.42,8.42
Nahitan Nández,78067241.0,13.3,13.3,13.3,13.3,13.2,13.2,13.0,13.0,12.17,12.17
Hamed Junior Traoré,43317933.0,15.2,15.2,15.2,15.2,14.15,14.15,14.7,14.7,13.04,13.04
Paulo Dybala,14044150.0,14.8,14.8,14.8,14.8,12.8,12.8,14.8,14.8,12.17,12.17
Damiano Manzella,2000438268.0,12.5,12.5,12.5,12.5,11.6,11.6,12.15,12.15,11.25,11.25
Alessandro Alborghetti,2000566976.0,11.05,11.05,11.05,11.05,11.3,11.3,10.6,10.6,11.25,11.25
Umberto Lettieri,2000567821.0,11.9,11.9,11.9,11.9,12.7,12.7,11.5,11.5,13.0,13.0
Pol Lirola,67211095.0,12.35,12.35,12.35,12.35,12.3,12.3,11.9,11.9,11.92,11.92
Lisandro Martínez,14167329.0,13.5,13.5,13.5,13.5,12.05,12.05,13.0,13.0,12.21,12.21
Matteo Gabbia,43266774.0,12.7,12.7,12.7,12.7,11.6,11.6,12.1,12.1,12.0,12.0
