Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Adam Karabec,25062522.0,3.25,15.38,15.5,11.92,2.75,1.5,2.25,2.25
Bryan Rugani,2000567826.0,2.75,13.75,11.5,10.5,2.75,3.0,1.25,3.0
Lorenzo Micucci,2000567825.0,2.75,12.75,15.5,9.25,2.0,1.5,3.0,2.25
Mattia Napoli,2000507848.0,2.5,13.25,10.5,12.25,2.5,3.0,3.5,3.25
Paolo Di Napoli,2000507831.0,2.0,12.25,13.25,12.42,2.5,2.5,2.75,3.5
Marco Saporito,2000507393.0,2.75,14.75,13.5,12.0,2.0,2.5,4.0,2.0
Enrico Taurino,2000435791.0,2.5,12.25,11.5,13.25,2.75,2.0,3.0,3.5
Gregorio Poggi,2000434780.0,3.0,13.0,14.0,10.08,2.25,4.0,2.25,2.5
Adolfo Torrisi,2000326083.0,4.5,13.75,12.0,11.5,2.75,3.5,2.0,1.75
Filippo Ricciardi,2000324317.0,2.75,14.75,13.0,11.08,2.5,4.0,1.5,2.25
Georgi Atanasov,22083648.0,1.75,12.38,13.0,11.08,3.25,1.0,3.25,2.5
Sávio,2000011972.0,2.0,13.0,15.5,12.33,2.5,2.0,2.75,2.5
Simone Felugo,2000193649.0,2.75,12.88,12.5,11.67,2.0,2.5,3.25,2.25
Gianmario Minelli,2000192822.0,1.75,11.38,13.25,10.92,2.5,2.0,2.25,2.5
Godwin Ackah,2000192606.0,2.0,12.88,14.0,10.67,2.5,2.0,3.25,3.25
Nicolò Brighi,2000192605.0,2.25,11.5,10.75,11.83,2.0,3.5,3.25,2.5
Raimondo Gadau,2000192601.0,1.5,14.12,15.25,10.75,3.25,1.0,2.25,2.5
Vasilis Zagaritis,36151881.0,2.0,14.62,15.0,14.0,2.75,1.5,2.5,2.75
Dinko Mandura,2000186481.0,3.0,14.5,15.0,12.17,1.5,2.0,2.0,1.5
Borys Bococi,2000461608.0,1.75,14.25,15.0,12.17,2.25,2.0,3.0,3.25
Francesco Petrini,2000435442.0,1.5,13.0,12.5,11.67,1.5,3.0,2.5,2.0
Lorenzo Campadelli,2000435439.0,1.5,13.38,12.0,13.92,2.0,1.0,2.5,2.75
Alex Zanut,2000194920.0,2.25,12.75,16.0,11.25,2.0,4.0,3.25,3.5
Vincenzo Puccinelli,2000192602.0,4.0,15.25,13.5,9.67,2.0,4.5,2.5,1.25
Imran Louza,48038017.0,3.0,12.25,13.5,13.33,2.25,2.5,3.25,2.75
Nicolò Armini,43373238.0,2.5,15.12,13.25,13.42,2.75,2.5,2.25,1.75
Emerson,19158043.0,1.5,10.75,10.0,12.83,2.0,2.0,2.5,2.0
Nicolás Tagliafico,14008030.0,2.75,10.0,9.0,15.17,3.75,2.0,2.75,3.25
Andrea Chiappetta,2000567823.0,2.75,12.25,14.0,7.5,3.0,1.5,2.25,2.5
Manuel Santos,2000439547.0,2.5,13.25,14.0,13.17,1.5,2.0,2.5,1.5
Gianmarco Solagna,2000323862.0,2.5,13.0,10.0,12.83,1.5,3.0,2.5,2.0
Rodrigo Gomes,83333463.0,3.0,13.5,14.5,13.33,2.0,3.0,1.75,1.5
Marcos Paulo,19354619.0,2.25,13.38,13.0,12.58,3.75,2.5,1.5,2.5
Emiliano Buono,2000567820.0,10.0,6.5,14.0,5.0,10.0,1.5,13.5,8.25
Marcello Carrieri,2000437682.0,12.75,13.62,10.0,10.42,10.5,4.5,13.0,12.5
Tim Rönning,93065015.0,16.0,13.5,9.0,15.33,15.25,6.0,18.0,12.5
Andrea Bianchini,43266746.0,12.0,11.0,11.5,10.17,10.25,9.0,13.5,12.5
Nahitan Nández,78067241.0,1.75,14.0,11.5,15.0,2.5,3.0,3.25,3.0
Hamed Junior Traoré,43317933.0,2.5,14.25,13.5,14.0,2.0,2.5,2.0,2.75
Paulo Dybala,14044150.0,1.75,10.0,9.0,12.67,2.25,1.5,3.0,1.75
Damiano Manzella,2000438268.0,3.0,14.62,12.5,13.92,3.25,5.5,2.75,1.75
Alessandro Alborghetti,2000566976.0,2.0,12.25,10.5,13.83,3.5,1.5,1.75,2.0
Umberto Lettieri,2000567821.0,2.5,15.25,14.0,13.33,1.0,1.0,2.5,2.0
Pol Lirola,67211095.0,2.25,12.62,13.25,12.25,2.75,1.5,1.75,2.0
Lisandro Martínez,14167329.0,2.0,14.0,12.0,13.33,3.5,2.0,3.75,1.5
Matteo Gabbia,43266774.0,3.0,14.5,13.5,14.17,2.0,1.0,1.5,1.0
