Player,UID,Position
Adam Karabec,25062522,M/AM (C)
Bryan Rugani,2000567826,"AM (LC), ST (C)"
Lorenzo Micucci,2000567825,"AM (R), ST (C)"
Mattia Napoli,2000507848,D (RC)
Paolo Di Napoli,2000507831,"D (C), DM, M (C)"
Marco Saporito,2000507393,M (RLC)
Enrico Taurino,2000435791,M/AM (C)
Gregorio Poggi,2000434780,"M (RLC), AM (R)"
Adolfo Torrisi,2000326083,"M (C), AM (RLC)"
Filippo Ricciardi,2000324317,"M (LC), AM (RLC)"
Georgi Atanasov,22083648,"AM (RLC), ST (C)"
Sávio,2000011972,"M (R), AM (RLC), ST (C)"
Simone Felugo,2000193649,"AM (RC), ST (C)"
Gianmario Minelli,2000192822,"M (LC), AM (C)"
Godwin Ackah,2000192606,"DM, M (C), AM (RC)"
Nicolò Brighi,2000192605,D (RLC)
Raimondo Gadau,2000192601,"D (RL), WB/AM (R)"
Vasilis Zagaritis,36151881,D/WB (L)
Dinko Mandura,2000186481,M/AM (C)
Borys Bococi,2000461608,ST (C)
Francesco Petrini,2000435442,"AM (R), ST (C)"
Lorenzo Campadelli,2000435439,"DM, M (C)"
Alex Zanut,2000194920,"M (L), AM (RL), ST (C)"
Vincenzo Puccinelli,2000192602,WB/M/AM (R)
Imran Louza,48038017,"DM, M (C), AM (RC)"
Nicolò Armini,43373238,"D (RLC), WB (R)"
Emerson,19158043,D/WB (RL)
Nicolás Tagliafico,14008030,D/WB/M (L)
Andrea Chiappetta,2000567823,"M/AM (R), ST (C)"
Manuel Santos,2000439547,"M (LC), AM (RLC)"
Gianmarco Solagna,2000323862,"M (C), ST (C)"
Rodrigo Gomes,83333463,"M (R), AM (RL)"
Marcos Paulo,19354619,"M/AM (LC), ST (C)"
Emiliano Buono,2000567820,GK
Marcello Carrieri,2000437682,GK
Tim Rönning,93065015,GK
Andrea Bianchini,43266746,GK
Nahitan Nández,78067241,"WB (R), DM, M (RC), AM (R)"
Hamed Junior Traoré,43317933,M/AM (C)
Paulo Dybala,14044150,"AM (RLC), ST (C)"
Damiano Manzella,2000438268,"D/WB (R), DM"
Alessandro Alborghetti,2000566976,"D (RL), WB/M (L)"
Umberto Lettieri,2000567821,D (RC)
Pol Lirola,67211095,"D (RL), WB/M (R)"
Lisandro Martínez,14167329,"D (LC), DM, M (C)"
Matteo Gabbia,43266774,"D (C), DM"
