Player,UID,CD,BPD,NNCB,Lib
Stanislav Lobotka,63012964.0,10.85,10.9,10.85,12.6
Georgi Tunjov,47070304.0,9.1,10.4,9.1,11.65
Fabio Di Giulio,2000620075.0,11.55,10.9,11.25,10.35
Lorenzo Brotto,2000569462.0,10.3,10.5,9.8,11.35
Attilio Leto,2000569461.0,10.35,11.1,10.45,9.75
David Galfano,2000510011.0,10.6,11.05,9.9,11.6
André Lopes,2000509492.0,11.5,9.95,11.05,9.25
Sotiris Bakalis,2000237415.0,8.95,8.3,8.3,6.7
Alberto Sereni,2000199661.0,9.35,9.65,8.8,10.25
Umberto Rossetti,2000193647.0,8.3,7.3,8.1,6.1
Julien Pfeiffer,2000192363.0,6.5,6.35,6.8,7.9
Eugenio Cammarata,2000192308.0,6.8,7.75,6.9,9.0
Marco Meneghetti,43392838.0,7.75,6.95,7.65,6.15
Samuele Ricci,43390774.0,10.6,11.2,10.6,12.1
Anouar Gharbi,2000565029.0,13.0,11.8,13.3,10.6
Krzysztof Szczepankiewicz,2000572872.0,7.85,7.4,8.3,6.1
Daniele Nobile,2000569465.0,6.15,6.35,6.25,8.25
Rossano Frisari,2000509488.0,11.0,11.35,11.0,10.2
Pietro Severino,2000509487.0,9.95,10.45,10.05,11.6
Diego Sanchez,2000439461.0,9.1,9.1,9.05,9.95
Cristopher Mutti,2000439456.0,11.95,10.55,11.35,9.15
Davide Carella,2000436671.0,7.75,8.8,8.05,9.65
Alessandro Zorzetto,2000436495.0,7.15,7.15,7.05,8.3
Jakob Brambach,2000065759.0,8.05,7.75,8.15,6.85
Luca Stanga,43425977.0,11.75,11.6,12.15,11.05
Mattia Pitzalis,43298629.0,12.05,12.15,11.9,11.45
Giovanni Crociata,43153059.0,10.3,10.4,10.35,12.25
Emanuel Mammana,14059326.0,12.95,12.95,12.6,12.95
Simone Vignoli,2000439458.0,8.95,9.9,9.75,10.75
David Lukac,2000189398.0,7.9,8.2,7.4,9.6
Roma,2000439457.0,13.1,13.0,13.5,11.85
Nicolas Dufour,2000191911.0,12.6,12.7,11.8,11.0
Adam Steele,2000187747.0,11.4,11.3,11.0,11.65
Pedro Ferreira,55082151.0,12.35,12.65,12.4,13.0
Ryôtarô Meshino,45104652.0,8.7,9.25,8.45,11.6
Jack O'Connell,28080955.0,13.7,13.3,13.7,13.15
Matt Baker,2000439460.0,9.2,9.8,8.7,10.8
Thomás Grosi,2000272736.0,10.2,11.1,9.8,11.4
Felipe Vergara,2000415530.0,8.05,8.5,7.25,10.05
Michele Gigante,2000199658.0,10.2,10.15,10.45,10.9
Adrian Semper,24046412.0,9.75,9.5,9.85,9.0
Kiki Kouyaté,13186668.0,14.0,13.35,14.0,11.3
Alessio Chiurco,2000193119.0,11.05,11.45,11.15,11.4
