Match,Player,UID
#GK,Sotiris Bakalis,2000237415
#GK,Umberto Rossetti,2000193647
#GK,Marco Meneghetti,43392838
#GK,Krzysztof Szczepankiewicz,2000572872
#GK,Jakob Brambach,2000065759
#GK,Adrian Semper,24046412
#DR,André Lopes,2000509492
#DR,Luca Stanga,43425977
#DR,Adam Steele,2000187747
#DR,Kiki Kouyaté,13186668
#DC,Attilio Leto,2000569461
#DC,André Lopes,2000509492
#DC,Anouar Gharbi,2000565029
#DC,Rossano Frisari,2000509488
#DC,Cristopher Mutti,2000439456
#DC,Luca Stanga,43425977
#DC,Emanuel Mammana,14059326
#DC,Roma,2000439457
#DC,Nicolas Dufour,2000191911
#DC,Jack O'Connell,28080955
#DC,Kiki Kouyaté,13186668
#DL,Fabio Di Giulio,2000620075
#DL,André Lopes,2000509492
#DL,Cristopher Mutti,2000439456
#DL,Luca Stanga,43425977
#DL,Mattia Pitzalis,43298629
#DL,Nicolas Dufour,2000191911
#DL,Alessio Chiurco,2000193119
#WBR,Adam Steele,2000187747
#WBR,Kiki Kouyaté,13186668
#DM,Stanislav Lobotka,63012964
#DM,Georgi Tunjov,47070304
#DM,Lorenzo Brotto,2000569462
#DM,David Galfano,2000510011
#DM,Alberto Sereni,2000199661
#DM,Samuele Ricci,43390774
#DM,Anouar Gharbi,2000565029
#DM,Rossano Frisari,2000509488
#DM,Giovanni Crociata,43153059
#DM,Emanuel Mammana,14059326
#DM,Pedro Ferreira,55082151
#WBL,Mattia Pitzalis,43298629
#WBL,Alessio Chiurco,2000193119
#MR,Georgi Tunjov,47070304
#MR,Julien Pfeiffer,2000192363
#MR,Anouar Gharbi,2000565029
#MR,Daniele Nobile,2000569465
#MR,Rossano Frisari,2000509488
#MR,Matt Baker,2000439460
#MR,Felipe Vergara,2000415530
#MC,Stanislav Lobotka,63012964
#MC,Georgi Tunjov,47070304
#MC,Lorenzo Brotto,2000569462
#MC,David Galfano,2000510011
#MC,Alberto Sereni,2000199661
#MC,Samuele Ricci,43390774
#MC,Anouar Gharbi,2000565029
#MC,Rossano Frisari,2000509488
#MC,Pietro Severino,2000509487
#MC,Giovanni Crociata,43153059
#MC,Roma,2000439457
#MC,Pedro Ferreira,55082151
#MC,Michele Gigante,2000199658
#ML,Georgi Tunjov,47070304
#ML,Julien Pfeiffer,2000192363
#ML,Diego Sanchez,2000439461
#ML,Ryôtarô Meshino,45104652
#AMR,Georgi Tunjov,47070304
#AMR,Julien Pfeiffer,2000192363
#AMR,Eugenio Cammarata,2000192308
#AMR,Daniele Nobile,2000569465
#AMR,Davide Carella,2000436671
#AMR,Alessandro Zorzetto,2000436495
#AMR,Simone Vignoli,2000439458
#AMR,David Lukac,2000189398
#AMR,Adam Steele,2000187747
#AMR,Ryôtarô Meshino,45104652
#AMR,Matt Baker,2000439460
#AMR,Felipe Vergara,2000415530
#AMC,Stanislav Lobotka,63012964
#AMC,Georgi Tunjov,47070304
#AMC,Alberto Sereni,2000199661
#AMC,Pietro Severino,2000509487
#AMC,Alessandro Zorzetto,2000436495
#AMC,Giovanni Crociata,43153059
#AMC,Ryôtarô Meshino,45104652
#AMC,Matt Baker,2000439460
#AMC,Michele Gigante,2000199658
#AML,Lorenzo Brotto,2000569462
#AML,Julien Pfeiffer,2000192363
#AML,Diego Sanchez,2000439461
#AML,Simone Vignoli,2000439458
#AML,Ryôtarô Meshino,45104652
#AML,Matt Baker,2000439460
#STC,Eugenio Cammarata,2000192308
#STC,Pietro Severino,2000509487
#STC,Diego Sanchez,2000439461
#STC,Davide Carella,2000436671
#STC,Alessandro Zorzetto,2000436495
#STC,Simone Vignoli,2000439458
#STC,David Lukac,2000189398
#STC,Ryôtarô Meshino,45104652
#STC,Matt Baker,2000439460
#STC,Thomás Grosi,2000272736
#STC,Michele Gigante,2000199658
