Player,UID,FB,WB,IWB,CWB,NNFB
Marco Sala,43323122.0,12.65,12.1,11.85,11.96,12.0
Sodiq Bala,2000521262.0,12.6,11.55,11.45,11.31,13.3
Valerio Montesano,2000514124.0,7.0,4.7,5.3,4.77,6.7
Ayoub Poderini,2000508895.0,10.2,9.9,8.65,9.65,8.25
Erinson Ramírez,77048797.0,10.35,11.5,10.45,12.23,9.0
Santo Piccolo,2000437933.0,7.95,8.35,8.6,9.15,8.7
Joseph Ienca,2000436506.0,7.65,8.8,7.5,9.69,7.05
Mitar Bajatović,2000436218.0,11.9,9.3,10.45,8.81,10.85
Matteo Colombo,2000434039.0,10.2,9.45,9.95,9.46,11.85
Veljko Nikolić,62175128.0,10.55,10.45,11.25,11.5,9.4
Gracjan Sagan,2000197897.0,13.95,11.6,12.7,11.38,13.3
Dennis Serofilli,2000197105.0,10.2,10.55,8.8,10.42,8.4
Samuel Sosa,86054425.0,12.25,12.7,11.65,12.31,10.85
Florent Da Silva,49056278.0,9.85,10.3,10.55,11.31,9.4
Adam Oudjani,49041403.0,10.35,11.75,10.45,12.19,9.35
Riechedly Bazoer,37041762.0,11.85,11.55,12.35,12.0,12.8
Orri Steinn Óskarsson,39062838.0,10.8,10.55,10.8,11.12,10.35
Luigi Trecroci,2000626439.0,10.1,10.8,8.8,11.0,9.0
Tiziano Gennarelli,2000569301.0,9.0,9.7,8.9,9.81,8.4
Walter Erra,2000569294.0,9.4,9.4,10.5,10.0,9.6
Hermann Essomba,2000568393.0,9.65,7.1,8.9,7.12,9.1
Alessio Marafioti,2000436508.0,11.35,10.3,10.5,10.77,10.65
Dane Ricciuto,2000431771.0,11.25,11.3,10.6,11.96,10.8
Ofri Arad,42078012.0,12.95,11.0,12.45,11.12,13.2
Gianluca Santini,2000024721.0,10.05,8.95,8.8,8.15,10.4
Florian Miguel,211504.0,13.15,12.3,12.7,12.27,13.2
Giacomo Calò,43154747.0,12.05,11.65,13.15,12.15,11.8
Nhem Kakada,2000569295.0,12.4,11.1,11.9,11.46,11.4
Liberato Milvatti,2000193932.0,12.3,9.9,11.6,10.46,11.75
Carlos Cuesta,76047487.0,12.35,11.6,12.25,11.58,12.8
Filip Braut,24065858.0,12.75,12.15,11.65,11.54,11.1
Lorenzo Cattani,2000514061.0,5.7,2.6,4.0,2.65,5.6
Igor Lucatelli,43500432.0,8.25,6.0,8.2,6.38,9.95
Giacomo Satalino,43252200.0,9.3,6.8,8.75,7.15,10.0
Alessandro Masella,2000438278.0,11.05,11.05,11.35,11.73,10.2
Riccardo Marchizza,43190965.0,13.35,11.95,12.6,11.65,13.0
Luca Fiordilino,43124601.0,12.55,12.15,13.15,12.62,12.5
Armindo Sieb,2000065610.0,10.5,11.05,10.3,11.04,9.55
Nazariy Rusyn,71092749.0,12.1,11.1,12.1,11.46,11.65
Kevin Rüegg,98041554.0,12.9,12.1,12.3,12.15,12.65
Simone Zanardi,2000192610.0,13.25,11.65,12.25,11.46,12.1
Nicholas Praticò,2000569474.0,9.75,9.8,10.15,10.46,7.75
Marco Bernardinello,2000569299.0,10.25,9.6,10.05,9.62,8.75
