Player,UID,CD,BPD,NNCB,Lib
Antonello Borgognoni,2000567631.0,9.2,10.1,9.1,10.35
João Teixeira,2000508042.0,9.65,10.3,9.75,10.65
Giuseppe Borghi,2000507391.0,8.05,9.5,7.95,9.7
Raul Cannataro,2000506760.0,12.9,11.7,12.7,10.5
Guy Charrier,2000505029.0,9.1,9.75,8.8,9.5
Christopher Ortiz,2000483551.0,10.7,11.2,11.4,9.25
Federico Siano,2000435228.0,8.75,8.85,8.85,9.2
Isaac Olivier,2000431007.0,9.15,9.9,8.65,11.35
Giannis Koromilas,2000234253.0,6.85,8.4,7.15,10.0
Eneko Pascual,2000193396.0,7.6,8.5,7.15,11.15
Ivano Dutto,2000191667.0,12.6,12.25,12.2,11.95
Fausto Crippa,2000191660.0,12.95,12.55,12.8,12.3
Fernando Mendes,2000189355.0,8.65,9.45,8.8,11.0
João Santos,83234702.0,11.6,12.05,11.1,12.05
Ilyas Chouaref,49055174.0,10.5,10.6,10.5,11.5
Felice D'Amico,43297400.0,7.95,8.4,8.25,9.85
Andrea Cerutti,2000626673.0,11.75,10.65,11.6,9.75
Stefano Mengoli,2000569086.0,11.9,10.95,10.6,10.9
Eddy Venturelli,2000507388.0,9.6,9.7,9.3,11.9
Tim O'Donnell,2000436270.0,10.65,10.9,10.25,10.75
Marco Di Mattia,2000191659.0,13.75,12.4,12.95,10.95
Valerio Sironi,2000191144.0,9.35,9.7,9.25,9.8
Leonardo Lelo,83257795.0,11.7,11.5,11.35,12.55
Sebastiano Luperto,43095145.0,13.9,13.6,13.9,12.0
Michael Olise,29221846.0,8.95,10.0,8.25,11.7
Ryad Talbi,2000023232.0,8.4,9.55,8.4,10.5
Salvatore Esposito,43317730.0,11.85,11.9,12.05,12.8
Nélson Vale,2000191702.0,8.45,8.0,8.6,7.4
Enrico Putrino,2000189552.0,10.2,9.1,10.3,9.0
Iacopo Zappasodi,2000507390.0,10.05,11.45,10.0,12.05
Giuseppe Biagioni,2000567625.0,7.75,6.15,7.7,5.1
Søren Lauritsen,2000189224.0,8.95,8.05,9.15,8.0
Isac,2000536901.0,11.0,12.5,11.1,13.5
Rafael Fernández,2000274833.0,15.2,14.6,14.8,13.5
Luis Ángel Tapia,2000206926.0,8.85,9.7,8.85,11.2
Youcef Gherbi,2000188129.0,9.0,9.95,8.85,12.05
Filipe Soares,83111342.0,11.2,11.6,10.8,13.1
Christian Pastina,43390700.0,13.55,14.2,13.65,13.55
Josip Brekalo,24046837.0,7.65,8.75,7.85,10.85
Bremer,19270493.0,14.25,13.9,14.15,12.25
Will Smallbone,28109942.0,10.25,11.25,9.55,13.1
Marco Crestani,2000567632.0,8.2,9.25,8.05,9.35
José Pereira,2000190648.0,8.6,8.9,8.9,10.2
Amar Dedic,16283629.0,12.8,13.25,12.3,12.95
