Match,Player,UID
#GK,Nélson Vale,2000191702
#GK,Enrico Putrino,2000189552
#GK,Giuseppe Biagioni,2000567625
#GK,Søren Lauritsen,2000189224
#DR,Raul Cannataro,2000506760
#DR,Andrea Cerutti,2000626673
#DR,Stefano Mengoli,2000569086
#DR,Marco Di Mattia,2000191659
#DR,Amar Dedic,16283629
#DC,Raul Cannataro,2000506760
#DC,Christopher Ortiz,2000483551
#DC,Fausto Crippa,2000191660
#DC,João Santos,83234702
#DC,Andrea Cerutti,2000626673
#DC,Stefano Mengoli,2000569086
#DC,Marco Di Mattia,2000191659
#DC,Sebastiano Luperto,43095145
#DC,Rafael Fernández,2000274833
#DC,Christian Pastina,43390700
#DC,Bremer,19270493
#DL,Raul Cannataro,2000506760
#DL,Fausto Crippa,2000191660
#DL,Andrea Cerutti,2000626673
#DL,Stefano Mengoli,2000569086
#DL,Marco Di Mattia,2000191659
#DL,Leonardo Lelo,83257795
#DL,Sebastiano Luperto,43095145
#DL,Christian Pastina,43390700
#DL,Bremer,19270493
#DL,Amar Dedic,16283629
#WBR,Raul Cannataro,2000506760
#WBR,Eneko Pascual,2000193396
#WBR,Ivano Dutto,2000191667
#DM,Christopher Ortiz,2000483551
#DM,Ivano Dutto,2000191667
#DM,João Santos,83234702
#DM,Stefano Mengoli,2000569086
#DM,Salvatore Esposito,43317730
#WBL,Fausto Crippa,2000191660
#WBL,Leonardo Lelo,83257795
#WBL,Christian Pastina,43390700
#MR,João Teixeira,2000508042
#MR,Giannis Koromilas,2000234253
#MR,Eneko Pascual,2000193396
#MR,Tim O'Donnell,2000436270
#MR,Michael Olise,29221846
#MR,Luis Ángel Tapia,2000206926
#MR,Youcef Gherbi,2000188129
#MR,Josip Brekalo,24046837
#MR,José Pereira,2000190648
#MC,João Teixeira,2000508042
#MC,Giuseppe Borghi,2000507391
#MC,Guy Charrier,2000505029
#MC,Isaac Olivier,2000431007
#MC,Giannis Koromilas,2000234253
#MC,Eneko Pascual,2000193396
#MC,Ivano Dutto,2000191667
#MC,João Santos,83234702
#MC,Eddy Venturelli,2000507388
#MC,Michael Olise,29221846
#MC,Salvatore Esposito,43317730
#MC,Iacopo Zappasodi,2000507390
#MC,Isac,2000536901
#MC,Youcef Gherbi,2000188129
#MC,Filipe Soares,83111342
#MC,Will Smallbone,28109942
#ML,Antonello Borgognoni,2000567631
#ML,Giannis Koromilas,2000234253
#ML,Felice D'Amico,43297400
#ML,Leonardo Lelo,83257795
#ML,Youcef Gherbi,2000188129
#ML,Josip Brekalo,24046837
#AMR,João Teixeira,2000508042
#AMR,Guy Charrier,2000505029
#AMR,Federico Siano,2000435228
#AMR,Giannis Koromilas,2000234253
#AMR,Eneko Pascual,2000193396
#AMR,Fernando Mendes,2000189355
#AMR,Ilyas Chouaref,49055174
#AMR,Felice D'Amico,43297400
#AMR,Tim O'Donnell,2000436270
#AMR,Michael Olise,29221846
#AMR,Ryad Talbi,2000023232
#AMR,Luis Ángel Tapia,2000206926
#AMR,Josip Brekalo,24046837
#AMR,Will Smallbone,28109942
#AMR,José Pereira,2000190648
#AMC,João Teixeira,2000508042
#AMC,Giuseppe Borghi,2000507391
#AMC,Guy Charrier,2000505029
#AMC,Isaac Olivier,2000431007
#AMC,Giannis Koromilas,2000234253
#AMC,Felice D'Amico,43297400
#AMC,Eddy Venturelli,2000507388
#AMC,Tim O'Donnell,2000436270
#AMC,Valerio Sironi,2000191144
#AMC,Michael Olise,29221846
#AMC,Iacopo Zappasodi,2000507390
#AMC,Youcef Gherbi,2000188129
#AMC,Filipe Soares,83111342
#AMC,Will Smallbone,28109942
#AML,Antonello Borgognoni,2000567631
#AML,Giannis Koromilas,2000234253
#AML,Eneko Pascual,2000193396
#AML,Ilyas Chouaref,49055174
#AML,Felice D'Amico,43297400
#AML,Valerio Sironi,2000191144
#AML,Leonardo Lelo,83257795
#AML,Michael Olise,29221846
#AML,Luis Ángel Tapia,2000206926
#AML,Youcef Gherbi,2000188129
#AML,Josip Brekalo,24046837
#AML,Will Smallbone,28109942
#AML,Marco Crestani,2000567632
#STC,Giuseppe Borghi,2000507391
#STC,Guy Charrier,2000505029
#STC,Federico Siano,2000435228
#STC,Fernando Mendes,2000189355
#STC,Ilyas Chouaref,49055174
#STC,Felice D'Amico,43297400
#STC,Tim O'Donnell,2000436270
#STC,Valerio Sironi,2000191144
#STC,Ryad Talbi,2000023232
#STC,Marco Crestani,2000567632
#STC,José Pereira,2000190648
