Player,UID,AMC,AP,T,SS,AM,EG
Kacper Kozłowski,96145145.0,14.35,14.15,14.35,13.8,14.45,14.15
Lorenzo Gaetani,2000508210.0,9.9,9.15,9.9,9.1,9.7,9.05
Luan Dongsheng,2000434025.0,12.25,12.65,12.25,11.55,12.35,12.2
Bjarnólfur Guðbrandsson,2000193662.0,11.9,11.2,11.9,11.3,11.9,11.0
Mattia Montanino,2000189328.0,12.95,12.55,12.95,12.1,12.25,11.55
Liam Chipperfield,2000014487.0,13.55,13.0,13.55,13.35,13.4,12.05
Valentin Antov,22067326.0,13.55,12.65,13.55,11.95,12.65,11.55
Tommaso Milanese,43425493.0,14.2,14.05,14.2,13.8,14.15,14.25
Umberto Cambi,2000568672.0,9.2,8.7,9.2,7.65,8.25,8.15
Andrzej Długołęcki,2000506192.0,8.65,7.95,8.65,7.05,7.3,6.85
Antonello Raho,2000323423.0,11.8,12.5,11.8,11.75,11.95,12.9
Krzysztof Piątek,96054420.0,10.6,10.2,10.6,11.2,10.5,10.4
Marko Bulat,24057489.0,14.4,13.95,14.4,13.8,14.15,13.65
Santi Ramos Mingo,14219093.0,11.65,11.05,11.65,10.5,11.05,10.7
Edoardo Gasparello,2000568421.0,11.5,11.0,11.5,10.6,11.1,11.1
Marco Biagiotti,2000568677.0,11.35,10.75,11.35,10.4,10.45,10.05
Stefan Paracampo,2000568674.0,9.25,8.75,9.25,8.85,9.25,8.3
Shpend Berisha,2000565103.0,11.85,11.15,11.85,11.75,11.95,10.65
Moreno Živković,2000056839.0,11.25,10.45,11.25,9.7,10.55,9.75
Jhan Núñez,2000416532.0,11.5,12.2,11.5,12.9,12.6,13.1
Troy Parrott,28122837.0,13.55,13.95,13.55,13.7,13.85,14.15
Adrián Pérez,2000272935.0,15.6,15.6,15.6,16.25,16.1,15.15
Florian Lemmens,2000199446.0,13.1,13.3,13.1,13.2,13.15,13.35
Christos Tzolis,36152916.0,13.0,13.5,13.0,13.85,13.75,13.6
Edoardo Piana,2000023993.0,7.05,6.1,7.05,6.3,6.7,6.15
Rafał Biegański,2000511223.0,8.75,7.65,8.75,7.9,8.5,7.1
Simone De Girolamo,2000194919.0,8.55,7.95,8.55,7.15,7.4,6.65
Florent Sinani,2000186510.0,7.8,7.0,7.8,6.9,7.15,6.35
Leo Greiml,16191211.0,12.45,11.95,12.45,11.15,12.15,11.45
Luca Campanile,2000065615.0,11.45,10.95,11.45,10.15,10.5,9.7
Elisha Owusu,48036651.0,13.85,13.35,13.85,13.15,13.55,12.95
Joshua Zirkzee,37060922.0,12.9,13.3,12.9,13.35,13.45,13.9
Lorenzo Montipò,43124226.0,10.45,10.05,10.45,9.2,9.75,9.3
Bruno Méndez,78089395.0,12.2,11.6,12.2,11.65,12.0,11.6
Melvin Bard,49041157.0,13.1,13.2,13.1,12.4,13.05,13.0
