Match,Player,UID
#GK,Andrzej Długołęcki,2000506192
#GK,Edoardo Piana,2000023993
#GK,Rafał Biegański,2000511223
#GK,Simone De Girolamo,2000194919
#GK,Florent Sinani,2000186510
#GK,Lorenzo Montipò,43124226
#DR,Lorenzo Gaetani,2000508210
#DR,Umberto Cambi,2000568672
#DR,Edoardo Gasparello,2000568421
#DR,Leo Greiml,16191211
#DR,Luca Campanile,2000065615
#DR,Bruno Méndez,78089395
#DC,Bjarnólfur Guðbrandsson,2000193662
#DC,Valentin Antov,22067326
#DC,Santi Ramos Mingo,14219093
#DC,Edoardo Gasparello,2000568421
#DC,Stefan Paracampo,2000568674
#DC,Moreno Živković,2000056839
#DC,Leo Greiml,16191211
#DC,Luca Campanile,2000065615
#DC,Elisha Owusu,48036651
#DC,Bruno Méndez,78089395
#DC,Melvin Bard,49041157
#DL,Lorenzo Gaetani,2000508210
#DL,Mattia Montanino,2000189328
#DL,Umberto Cambi,2000568672
#DL,Santi Ramos Mingo,14219093
#DL,Marco Biagiotti,2000568677
#DL,Stefan Paracampo,2000568674
#DL,Luca Campanile,2000065615
#DL,Melvin Bard,49041157
#WBR,Luca Campanile,2000065615
#DM,Lorenzo Gaetani,2000508210
#DM,Liam Chipperfield,2000014487
#DM,Valentin Antov,22067326
#DM,Tommaso Milanese,43425493
#DM,Marko Bulat,24057489
#DM,Santi Ramos Mingo,14219093
#DM,Shpend Berisha,2000565103
#DM,Luca Campanile,2000065615
#DM,Elisha Owusu,48036651
#WBL,Mattia Montanino,2000189328
#WBL,Marco Biagiotti,2000568677
#WBL,Melvin Bard,49041157
#MR,Lorenzo Gaetani,2000508210
#MR,Umberto Cambi,2000568672
#MR,Antonello Raho,2000323423
#MR,Shpend Berisha,2000565103
#MC,Kacper Kozłowski,96145145
#MC,Luan Dongsheng,2000434025
#MC,Liam Chipperfield,2000014487
#MC,Valentin Antov,22067326
#MC,Tommaso Milanese,43425493
#MC,Marko Bulat,24057489
#MC,Shpend Berisha,2000565103
#MC,Florian Lemmens,2000199446
#MC,Christos Tzolis,36152916
#MC,Elisha Owusu,48036651
#ML,Luan Dongsheng,2000434025
#ML,Christos Tzolis,36152916
#AMR,Antonello Raho,2000323423
#AMR,Christos Tzolis,36152916
#AMR,Joshua Zirkzee,37060922
#AMC,Kacper Kozłowski,96145145
#AMC,Tommaso Milanese,43425493
#AMC,Troy Parrott,28122837
#AMC,Florian Lemmens,2000199446
#AML,Christos Tzolis,36152916
#AML,Melvin Bard,49041157
#STC,Krzysztof Piątek,96054420
#STC,Jhan Núñez,2000416532
#STC,Troy Parrott,28122837
#STC,Adrián Pérez,2000272935
#STC,Christos Tzolis,36152916
#STC,Joshua Zirkzee,37060922
