Player,UID,AF,CF,DLF,F9,P,PF,TM
Kacper Kozłowski,96145145.0,13.9,13.75,14.75,14.2,13.9,12.85,13.6
Lorenzo Gaetani,2000508210.0,8.3,8.2,8.8,8.4,8.3,9.6,7.5
Luan Dongsheng,2000434025.0,10.85,11.3,13.3,12.25,10.85,10.6,11.3
Bjarnólfur Guðbrandsson,2000193662.0,11.1,11.0,12.6,11.1,11.1,11.1,11.4
Mattia Montanino,2000189328.0,11.5,10.55,11.45,11.2,11.5,11.85,10.85
Liam Chipperfield,2000014487.0,11.4,12.8,12.5,12.15,11.4,12.7,11.2
Valentin Antov,22067326.0,11.8,12.0,12.45,11.5,11.8,13.15,12.95
Tommaso Milanese,43425493.0,13.65,13.25,13.7,13.6,13.65,13.55,12.65
Umberto Cambi,2000568672.0,8.5,6.75,8.95,7.8,8.5,9.05,8.55
Andrzej Długołęcki,2000506192.0,7.35,5.8,7.4,6.45,7.35,8.7,7.7
Antonello Raho,2000323423.0,12.9,10.6,11.8,12.1,12.9,12.4,10.05
Krzysztof Piątek,96054420.0,12.6,12.05,12.1,10.65,12.6,12.25,12.8
Marko Bulat,24057489.0,13.05,13.15,13.7,13.4,13.05,13.25,12.85
Santi Ramos Mingo,14219093.0,11.2,10.65,11.3,10.6,11.2,11.75,11.5
Edoardo Gasparello,2000568421.0,11.4,11.0,11.5,10.3,11.4,12.0,12.1
Marco Biagiotti,2000568677.0,10.7,9.05,10.35,9.2,10.7,11.15,9.1
Stefan Paracampo,2000568674.0,9.4,8.4,9.65,9.15,9.4,9.25,9.7
Shpend Berisha,2000565103.0,12.3,10.55,11.9,11.3,12.3,11.95,10.9
Moreno Živković,2000056839.0,11.35,10.15,11.35,10.1,11.35,11.1,10.85
Jhan Núñez,2000416532.0,13.1,13.15,13.25,13.1,13.1,12.35,12.9
Troy Parrott,28122837.0,14.1,13.85,13.65,13.3,14.1,13.65,13.3
Adrián Pérez,2000272935.0,15.0,15.75,15.5,15.15,15.0,15.15,14.9
Florian Lemmens,2000199446.0,13.75,12.1,12.9,12.5,13.75,12.9,12.65
Christos Tzolis,36152916.0,13.0,12.2,12.2,13.1,13.0,12.4,10.65
Edoardo Piana,2000023993.0,8.1,5.8,7.85,6.55,8.1,7.6,6.65
Rafał Biegański,2000511223.0,9.2,7.0,9.45,8.2,9.2,8.25,8.1
Simone De Girolamo,2000194919.0,8.35,5.7,7.3,6.3,8.35,9.0,7.5
Florent Sinani,2000186510.0,7.95,5.8,7.8,6.8,7.95,8.0,7.1
Leo Greiml,16191211.0,12.4,11.5,12.55,11.4,12.4,12.05,11.95
Luca Campanile,2000065615.0,10.55,9.75,10.85,9.65,10.55,11.05,9.05
Elisha Owusu,48036651.0,12.7,12.6,13.1,12.4,12.7,13.15,12.65
Joshua Zirkzee,37060922.0,14.1,13.3,14.2,13.8,14.1,12.5,13.75
Lorenzo Montipò,43124226.0,9.8,8.15,10.2,8.6,9.8,9.7,8.95
Bruno Méndez,78089395.0,12.35,11.55,12.0,11.4,12.35,12.35,11.85
Melvin Bard,49041157.0,11.85,11.75,12.5,12.7,11.85,12.25,10.8
