Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Nicolas Năstase,2000507437.0,12.1,11.7,12.6,12.5,12.7,11.4,11.9,12.9
Ferdinando Dentale,2000569307.0,12.2,11.65,11.05,11.85,12.8,11.95,12.65,11.8
Salim El Hachimi,2000513191.0,9.95,9.85,7.5,9.75,9.6,11.85,12.15,8.25
Italo Bedin,2000509481.0,13.6,13.0,10.8,13.9,14.5,13.65,14.0,13.05
Hrvoje Bekavac,2000506912.0,10.8,10.3,7.5,9.9,10.1,12.25,12.1,8.05
Matteo Tagliaferri,2000437237.0,10.35,9.15,12.65,10.8,10.7,8.7,9.7,11.8
Stefano Bruno,2000437233.0,10.8,11.2,10.3,11.15,10.7,12.6,12.55,9.85
Luca Fiorini,2000435206.0,11.9,11.05,9.65,11.95,11.8,12.4,12.65,10.15
Pierre Dumas,2000435176.0,11.05,10.4,9.1,11.7,11.05,11.15,11.9,10.05
Astrit Selmani,93070505.0,12.2,11.65,13.4,13.2,12.6,11.7,12.4,12.5
Samuele Lucchiari,2000327369.0,11.35,10.95,10.4,12.2,11.8,11.7,12.7,11.15
Alberto Savi,2000323571.0,11.85,10.5,9.4,11.55,12.0,12.3,13.15,9.9
Christian Achton,2000323225.0,11.1,11.15,9.0,12.1,11.7,12.5,13.8,10.3
Franco Letizia,2000199596.0,10.0,9.35,10.95,9.9,10.25,9.85,9.4,10.9
Lorenzo Raimondo,2000199594.0,9.85,9.95,10.3,10.65,10.6,10.6,11.0,10.9
Kaan Ayhan,91100534.0,13.35,11.8,12.4,12.2,12.85,11.8,11.45,12.7
Ethan Galbraith,28115835.0,13.4,13.05,11.95,13.35,13.7,13.5,13.25,12.55
Martin Kotasek,2000512933.0,9.0,7.3,9.4,7.95,8.65,7.2,7.8,8.25
Brahim Mbodj,2000442457.0,12.05,11.35,10.3,11.7,12.55,12.2,12.6,11.7
Giuseppe Pezzella,43161921.0,12.3,12.25,12.75,12.7,12.4,12.05,12.2,12.85
Massimo Savini,2000569304.0,10.7,10.3,9.0,11.5,11.3,11.6,12.0,9.9
Diego Calderoni,2000435216.0,11.5,11.3,11.1,11.85,11.5,11.4,11.85,10.85
Eric Amthor,2000324171.0,10.8,10.7,8.8,11.4,10.95,12.65,12.55,9.8
Riccardo Viti,2000199589.0,12.65,11.0,10.4,12.75,12.4,12.1,12.95,11.2
Abubakar Chibueze,2000191834.0,9.55,8.6,7.55,10.0,9.95,10.05,9.6,8.5
Rúben Vezo,55067158.0,11.75,10.85,11.8,11.3,11.45,10.55,10.4,12.2
Valentin Rosier,50047466.0,12.75,12.6,12.6,12.8,13.05,12.4,12.15,13.1
Abdou Harroui,37064635.0,12.9,11.95,13.2,13.05,13.15,12.55,12.45,12.7
Patrik Schick,25042141.0,12.95,13.05,10.85,12.9,13.05,13.3,13.6,11.8
Alessandro Plizzari,43295108.0,11.5,9.85,11.8,10.75,11.15,10.4,9.6,10.95
Ivor Pandur,24060905.0,9.15,7.65,7.25,7.9,8.15,8.6,8.35,7.9
Catanha,2000609394.0,9.15,7.4,9.15,7.8,8.65,8.35,8.55,8.5
Călin Iovan,2000189364.0,13.6,11.85,14.55,13.55,13.9,11.5,12.45,14.2
Tommaso Farabegoli,43252164.0,10.85,9.6,12.2,10.1,10.45,9.3,9.35,11.5
Luca Ranieri,43270506.0,12.75,12.4,13.0,12.5,12.6,12.35,12.3,12.85
Rickard Sahlin,2000483096.0,13.5,13.05,11.85,13.65,14.0,13.8,13.95,12.25
Thierry Correia,83111501.0,11.65,11.4,12.4,11.7,11.75,11.7,11.65,11.7
Mattia Zaccagni,43125343.0,14.4,14.25,12.4,14.3,14.5,14.7,15.2,13.8
Mihael Žaper,24053048.0,13.65,13.45,11.8,13.3,13.35,13.85,13.4,12.9
Mehdi Léris,43252697.0,11.3,11.85,8.7,11.5,11.1,12.7,12.9,10.1
Ondrej Lingr,25055110.0,12.05,11.9,11.3,11.65,11.5,12.7,12.75,11.1
Ronaldo Vieira,29161106.0,14.0,13.25,13.15,13.55,13.9,13.35,13.25,13.9
Massimiliano Bernardi,2000567620.0,11.4,11.6,8.6,12.2,11.6,13.1,13.5,10.3
João Oliveira,2000435239.0,12.5,12.1,10.6,13.1,12.8,13.5,13.9,11.4
Bruce Djemesi,2000438289.0,11.0,10.8,9.8,12.4,12.0,12.4,13.9,10.4
Yuri D'Antonio,2000569303.0,12.5,12.55,10.2,13.6,13.0,13.7,14.4,11.4
Cătălin Grosu,2000329331.0,13.3,13.5,11.4,13.1,13.1,14.4,14.4,12.1
Diego Marcelo,2000607427.0,9.85,8.9,10.75,10.2,10.55,9.85,10.1,10.1
