Player,UID,DM,AM,BWM,HB,SV,RGA
Nicolas Năstase,2000507437.0,13.0,12.6,12.6,12.6,12.8,11.6
Ferdinando Dentale,2000569307.0,10.8,10.2,10.2,11.05,11.2,12.05
Salim El Hachimi,2000513191.0,6.95,6.9,6.9,7.5,8.15,10.15
Italo Bedin,2000509481.0,11.25,11.0,11.0,10.8,12.45,13.6
Hrvoje Bekavac,2000506912.0,7.05,7.3,7.3,7.5,8.75,10.7
Matteo Tagliaferri,2000437237.0,12.65,13.15,13.15,12.65,11.2,9.1
Stefano Bruno,2000437233.0,9.0,9.05,9.05,10.3,9.65,11.45
Luca Fiorini,2000435206.0,9.45,9.1,9.1,9.65,9.85,11.65
Pierre Dumas,2000435176.0,8.95,8.85,8.85,9.1,9.0,10.9
Astrit Selmani,93070505.0,11.9,12.2,12.2,13.4,11.3,12.3
Samuele Lucchiari,2000327369.0,10.8,10.8,10.8,10.4,10.75,11.6
Alberto Savi,2000323571.0,8.55,8.8,8.8,9.4,8.85,11.55
Christian Achton,2000323225.0,9.7,9.6,9.6,9.0,9.6,12.0
Franco Letizia,2000199596.0,11.15,11.8,11.8,10.95,10.7,9.2
Lorenzo Raimondo,2000199594.0,10.5,10.75,10.75,10.3,10.15,9.15
Kaan Ayhan,91100534.0,12.5,12.65,12.65,12.4,13.1,11.8
Ethan Galbraith,28115835.0,11.25,11.2,11.2,11.95,12.05,13.15
Martin Kotasek,2000512933.0,8.6,8.2,8.2,9.4,6.65,7.55
Brahim Mbodj,2000442457.0,11.1,10.95,10.95,10.3,11.05,11.8
Giuseppe Pezzella,43161921.0,12.75,12.85,12.85,12.75,12.7,12.0
Massimo Savini,2000569304.0,8.7,9.2,9.2,9.0,9.3,10.8
Diego Calderoni,2000435216.0,10.3,10.5,10.5,11.1,10.05,10.85
Eric Amthor,2000324171.0,8.05,8.4,8.4,8.8,9.3,10.4
Riccardo Viti,2000199589.0,10.8,11.55,11.55,10.4,10.5,11.75
Abubakar Chibueze,2000191834.0,8.1,7.4,7.4,7.55,7.55,9.2
Rúben Vezo,55067158.0,11.9,12.25,12.25,11.8,12.4,10.9
Valentin Rosier,50047466.0,12.6,12.95,12.95,12.6,13.1,12.6
Abdou Harroui,37064635.0,12.15,12.65,12.65,13.2,12.35,11.6
Patrik Schick,25042141.0,10.45,10.6,10.6,10.85,11.05,13.7
Alessandro Plizzari,43295108.0,10.85,10.6,10.6,11.8,10.35,9.65
Ivor Pandur,24060905.0,7.15,6.8,6.8,7.25,6.65,7.85
Catanha,2000609394.0,8.25,9.0,9.0,9.15,7.9,7.5
Călin Iovan,2000189364.0,14.3,14.1,14.1,14.55,13.6,12.25
Tommaso Farabegoli,43252164.0,12.3,12.05,12.05,12.2,11.9,9.4
Luca Ranieri,43270506.0,12.95,12.95,12.95,13.0,12.75,12.2
Rickard Sahlin,2000483096.0,11.25,11.1,11.1,11.85,11.45,13.25
Thierry Correia,83111501.0,11.6,11.75,11.75,12.4,11.7,11.5
Mattia Zaccagni,43125343.0,12.4,12.3,12.3,12.4,12.8,15.0
Mihael Žaper,24053048.0,12.4,12.55,12.55,11.8,13.0,13.7
Mehdi Léris,43252697.0,9.3,9.2,9.2,8.7,10.1,12.4
Ondrej Lingr,25055110.0,10.4,10.45,10.45,11.3,11.0,12.25
Ronaldo Vieira,29161106.0,13.5,13.3,13.3,13.15,13.8,13.35
Massimiliano Bernardi,2000567620.0,8.7,8.9,8.9,8.6,9.5,12.0
João Oliveira,2000435239.0,10.6,10.5,10.5,10.6,10.3,12.5
Bruce Djemesi,2000438289.0,9.7,10.2,10.2,9.8,9.6,11.4
Yuri D'Antonio,2000569303.0,10.2,9.8,9.8,10.2,10.4,13.2
Cătălin Grosu,2000329331.0,11.1,10.9,10.9,11.4,11.9,13.4
Diego Marcelo,2000607427.0,9.7,10.75,10.75,10.75,9.15,9.1
