Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Nicolas Năstase,2000507437.0,12.33,15.5,12.0,10.33,9.33,10.33,8.0,13.67
Ferdinando Dentale,2000569307.0,9.5,12.25,10.5,15.0,9.0,12.83,7.5,12.58
Salim El Hachimi,2000513191.0,5.17,12.38,16.5,11.83,9.83,12.33,10.5,7.58
Italo Bedin,2000509481.0,9.0,12.75,12.5,15.67,10.83,12.83,6.0,11.0
Hrvoje Bekavac,2000506912.0,6.0,10.62,13.5,13.33,10.17,12.83,6.5,8.17
Matteo Tagliaferri,2000437237.0,12.67,13.5,10.5,6.0,6.83,8.0,12.75,12.42
Stefano Bruno,2000437233.0,4.67,13.25,9.5,11.83,15.0,12.0,10.5,13.08
Luca Fiorini,2000435206.0,4.83,13.12,9.5,12.0,12.83,13.33,11.0,10.83
Pierre Dumas,2000435176.0,4.67,13.12,14.0,10.5,12.67,12.5,13.0,10.25
Astrit Selmani,93070505.0,6.17,12.5,12.5,10.83,13.83,12.5,11.5,14.75
Samuele Lucchiari,2000327369.0,8.83,13.5,12.5,11.0,11.17,14.33,14.0,10.42
Alberto Savi,2000323571.0,3.5,12.75,11.5,15.33,11.67,12.17,6.0,11.08
Christian Achton,2000323225.0,5.5,15.25,17.5,12.83,8.83,13.83,11.0,10.08
Franco Letizia,2000199596.0,10.33,11.88,12.25,8.83,7.83,8.83,9.0,10.75
Lorenzo Raimondo,2000199594.0,9.67,12.88,15.25,7.67,8.17,10.0,9.0,9.58
Kaan Ayhan,91100534.0,13.33,11.12,11.0,11.33,10.5,10.67,12.5,13.25
Ethan Galbraith,28115835.0,8.17,12.5,14.5,14.33,12.5,13.0,8.0,11.83
Martin Kotasek,2000512933.0,5.17,11.38,9.5,6.5,3.17,4.17,9.5,10.5
Brahim Mbodj,2000442457.0,8.83,11.75,10.25,13.33,9.0,13.0,11.5,10.33
Giuseppe Pezzella,43161921.0,12.33,13.25,15.0,10.5,10.17,11.33,12.0,13.25
Massimo Savini,2000569304.0,4.67,11.75,13.0,11.0,11.0,13.0,14.0,10.5
Diego Calderoni,2000435216.0,7.67,12.25,15.0,9.17,10.5,13.83,12.5,11.33
Eric Amthor,2000324171.0,4.5,11.75,16.0,11.33,10.33,14.0,8.5,10.42
Riccardo Viti,2000199589.0,5.67,13.25,11.5,12.0,12.33,14.17,13.0,11.75
Abubakar Chibueze,2000191834.0,3.5,11.12,14.0,9.17,9.33,8.5,9.5,9.75
Rúben Vezo,55067158.0,13.0,9.0,9.5,9.33,8.67,9.33,12.5,12.67
Valentin Rosier,50047466.0,12.67,11.12,13.0,13.67,11.5,12.33,7.5,13.42
Abdou Harroui,37064635.0,9.33,12.88,11.0,11.0,11.83,11.67,10.5,13.33
Patrik Schick,25042141.0,7.17,9.38,11.0,15.0,13.83,15.0,14.0,12.17
Alessandro Plizzari,43295108.0,5.17,14.0,12.5,7.0,7.83,5.5,11.0,13.0
Ivor Pandur,24060905.0,4.5,7.38,14.25,6.33,5.0,7.17,12.5,11.67
Catanha,2000609394.0,4.33,11.62,11.25,7.83,5.5,4.83,9.0,11.5
Călin Iovan,2000189364.0,13.33,14.88,13.5,10.0,8.17,11.83,11.0,13.83
Tommaso Farabegoli,43252164.0,13.0,12.62,11.5,7.33,7.5,7.0,15.0,13.08
Luca Ranieri,43270506.0,13.0,13.5,14.5,11.5,9.67,11.0,11.0,13.25
Rickard Sahlin,2000483096.0,7.5,14.12,14.0,15.33,12.17,13.33,10.5,12.17
Thierry Correia,83111501.0,10.67,13.12,15.0,11.67,9.83,11.33,8.0,12.42
Mattia Zaccagni,43125343.0,8.17,12.75,11.5,16.5,13.17,14.5,8.5,14.92
Mihael Žaper,24053048.0,11.67,11.38,11.75,14.67,13.0,13.0,12.5,12.92
Mehdi Léris,43252697.0,5.83,12.25,13.5,13.17,11.5,13.17,10.5,9.42
Ondrej Lingr,25055110.0,7.67,13.25,13.5,13.0,12.67,13.17,11.0,12.42
Ronaldo Vieira,29161106.0,13.17,13.75,12.0,13.33,11.33,11.83,8.0,13.33
Massimiliano Bernardi,2000567620.0,4.33,13.5,15.0,13.33,12.33,14.67,11.0,9.67
João Oliveira,2000435239.0,6.0,14.25,16.0,12.0,14.33,15.0,10.5,11.83
Bruce Djemesi,2000438289.0,4.33,15.75,15.5,11.0,14.67,16.0,11.5,11.33
Yuri D'Antonio,2000569303.0,5.5,13.75,12.0,12.5,14.83,14.17,9.5,11.75
Cătălin Grosu,2000329331.0,9.33,12.5,15.0,13.67,12.0,15.67,7.5,14.0
Diego Marcelo,2000607427.0,5.17,13.38,13.75,9.5,6.17,12.33,10.75,11.33
