Player,UID,AMC,AP,T,SS,AM,EG
Vladimir Mendes,2000507409.0,11.1,10.6,11.1,10.9,11.0,10.9
Bronius Rukas,2000191907.0,13.6,14.5,13.6,14.6,15.15,15.55
Arthur,19259600.0,14.8,14.8,14.8,14.1,14.9,14.8
Mattias Lundquist,2000397734.0,11.0,11.7,11.0,12.3,11.9,12.85
Matthijs de Ligt,37055843.0,14.8,14.3,14.8,14.3,14.7,14.2
Federico Chiesa,43161651.0,13.7,14.0,13.7,14.0,14.1,14.5
Gaetano Pasqualone,2000567835.0,13.15,13.95,13.15,13.75,13.35,14.4
Andrey Yago,2000369870.0,14.7,14.4,14.7,14.4,14.9,14.5
Lucas Hernández,67197145.0,13.0,12.2,13.0,12.0,12.3,11.8
Riccardo Calafiori,43424738.0,13.8,13.7,13.8,13.5,13.9,13.8
Gabriel Brazão,19338228.0,10.95,10.15,10.95,10.05,10.2,9.35
Mateu Morey,67258408.0,14.4,14.4,14.4,13.9,14.7,14.3
Nico,67276127.0,15.1,15.15,15.1,14.3,14.95,15.15
Cassiano,2000410767.0,13.0,13.4,13.0,14.05,14.3,14.4
Tito Fernando,2000411765.0,13.6,14.0,13.6,14.35,13.7,14.1
Giulio Novellino,2000507837.0,13.4,13.9,13.4,13.55,13.85,14.0
Ronald Novoa,2000415595.0,12.5,13.3,12.5,12.8,12.95,13.5
Hugo Félix,83335589.0,13.4,13.6,13.4,13.4,14.2,14.2
Alex Meret,43140326.0,10.7,9.8,10.7,9.35,9.8,8.7
Merih Demiral,83176849.0,13.3,12.4,13.3,11.95,12.4,11.4
Rodrigo Bentancur,14094572.0,15.3,15.5,15.3,14.8,15.3,15.4
Achraf Hakimi,67228634.0,13.9,14.2,13.9,14.2,14.3,14.6
Luka Jović,62113639.0,12.5,12.9,12.5,13.5,13.0,13.3
Diogo Jota,55083779.0,13.7,14.1,13.7,14.8,14.4,14.7
Harvey Barnes,28100207.0,13.6,14.1,13.6,13.6,14.0,14.4
Anthony Tarzia,2000626882.0,12.1,12.7,12.1,13.8,13.3,13.6
