Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Vladimir Mendes,2000507409.0,1.75,14.88,14.5,13.58,2.25,1.0,3.0,3.25
Bronius Rukas,2000191907.0,3.0,15.0,18.0,11.08,2.0,4.0,2.0,2.25
Arthur,19259600.0,2.75,12.25,12.0,14.5,1.75,3.0,3.25,3.0
Mattias Lundquist,2000397734.0,3.25,14.38,16.0,10.83,2.25,3.0,3.0,1.75
Matthijs de Ligt,37055843.0,1.0,16.25,14.0,16.17,2.0,3.0,3.0,2.0
Federico Chiesa,43161651.0,4.0,14.0,15.5,12.83,1.75,5.0,2.0,1.5
Gaetano Pasqualone,2000567835.0,3.5,14.0,14.5,13.0,2.5,3.5,2.25,2.25
Andrey Yago,2000369870.0,2.0,16.5,17.0,15.33,1.0,3.0,1.5,1.0
Lucas Hernández,67197145.0,1.5,12.25,12.5,15.5,3.0,2.0,2.5,2.0
Riccardo Calafiori,43424738.0,1.5,14.25,14.5,13.33,3.5,2.0,1.5,2.0
Gabriel Brazão,19338228.0,15.0,12.88,9.5,13.33,11.25,10.0,14.0,12.5
Mateu Morey,67258408.0,2.5,13.75,15.5,14.0,2.0,3.0,2.25,2.5
Nico,67276127.0,2.5,15.25,15.0,14.0,3.25,4.5,2.5,2.0
Cassiano,2000410767.0,2.5,15.75,16.5,12.75,2.0,4.0,1.25,2.5
Tito Fernando,2000411765.0,3.25,14.88,15.0,12.42,3.25,2.0,2.0,2.0
Giulio Novellino,2000507837.0,2.25,14.75,16.5,13.67,3.0,3.5,2.0,1.5
Ronald Novoa,2000415595.0,2.75,12.0,14.5,10.67,2.25,2.5,2.25,2.0
Hugo Félix,83335589.0,2.25,13.0,14.0,10.92,2.25,2.5,2.25,3.75
Alex Meret,43140326.0,17.5,14.38,11.0,13.17,15.0,5.0,16.0,12.0
Merih Demiral,83176849.0,1.5,14.75,14.0,16.17,2.75,1.5,2.5,2.75
Rodrigo Bentancur,14094572.0,2.75,15.25,14.0,15.0,2.25,1.5,2.5,1.75
Achraf Hakimi,67228634.0,2.0,15.25,17.0,13.17,1.5,1.0,2.5,2.0
Luka Jović,62113639.0,2.0,14.25,14.0,13.33,2.0,2.0,2.5,1.5
Diogo Jota,55083779.0,2.5,14.0,15.0,13.83,1.75,2.0,1.75,2.0
Harvey Barnes,28100207.0,1.25,13.75,15.0,12.33,2.0,1.5,2.25,2.5
Anthony Tarzia,2000626882.0,3.0,14.25,16.5,12.0,2.0,2.0,3.0,2.0
